Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage,HKS No.
,Lam Jason Che Man,Hong Kong Football Club 12B,3.0,3,1,0,1,12,0.0,
,Wan Esther,Hong Kong Football Club 12B,0.0,0,1,0,1,12,0.0,
,Lo Ching Yin,Kinetic 1,15.0,15,1,1,0,7A,1.0,
,Dong Bo Ang,Vitality Squash 1,12.0,12,1,1,0,7A,1.0,
,Liu Wai Yin,HKPF Squash Team,0.0,0,1,0,1,9,0.0,
,Au Siu Fai,Hong Kong Football Club M3B,15.0,15,1,1,0,M3,1.0,
,Chow Pui Sing,Bravo D10,15.0,15,1,1,0,10,1.0,
,Chau Ka Chung,Sha Tin 4,12.0,12,1,1,0,10,1.0,
,Wong Bao Kwong Chi,Star River 1,12.0,12,1,1,0,11,1.0,
,Lai Michael Cheuk Fung,Kowloon Cricket Club 3A,18.0,18,1,1,0,3,1.0,
,Cheung Ringo Hon Lam,Sha Tin 2,0.0,0,1,0,1,4,0.0,
,Cheng Justin Hong-Chen,Hong Kong Football Club 1A,21.0,21,1,1,0,Premier Main,1.0,
,Wong King Yeung,Kowloon Cricket Club 1B,9.0,9,1,0,1,Premier Main,0.0,
,Pun Teddy,Hong Kong Football Club M1A,19.5,39,2,2,0,Premier Masters,1.0,
,Chiu Sai Kwong,Royal Hong Kong Yacht Club Div 13,15.0,15,1,1,0,13A,1.0,
,Chum Dylan Dzongsar,HKIS Div 13,21.0,21,1,1,0,13B,1.0,
,Pun Zhe Qiao Kimi,Fusion Squash Club 2,15.0,15,1,1,0,13B,1.0,
,Choe Yeda,Ladies Recreation Club Div 8,15.0,15,1,1,0,8A,1.0,
,Lam Francis Fu Yuen,LONGVIEW,0.0,0,1,0,1,8B,0.0,
,Hung Wai Tung,Hong Kong Football Club L3A,21.0,21,1,1,0,L3,1.0,
,Tang Ching On,Hong Kong Cricket Club Rockettes,6.0,6,1,0,1,L3,0.0,
