Player Name,HKS No.,Team,Opponent Name,Opponent HKS No.,Opponent Team,Match Date,Venue,Rubber Number,Score,Result,Home/Away
Tang Bobby Kwong Hing,32162.0,Star River 2,Ho Fai,26511.0,South China Athletic Association,26/02/2025,Cornwall Street Squash Centre,1,0-3,Loss,Home
Ho Fai,26511.0,South China Athletic Association,Tang Bobby Kwong Hing,32162.0,Star River 2,26/02/2025,Cornwall Street Squash Centre,1,3-0,Win,Away
Chan Edward Cheuk Wah,27699.0,Star River 2,Tai Dhubal Koon Ho,28400.0,South China Athletic Association,26/02/2025,Cornwall Street Squash Centre,2,0-3,Loss,Home
Tai Dhubal Koon Ho,28400.0,South China Athletic Association,Chan Edward Cheuk Wah,27699.0,Star River 2,26/02/2025,Cornwall Street Squash Centre,2,3-0,Win,Away
Ho Chin Pik,27974.0,Star River 2,Tang Chi Kin,29423.0,South China Athletic Association,26/02/2025,Cornwall Street Squash Centre,3,0-3,Loss,Home
Tang Chi Kin,29423.0,South China Athletic Association,Ho Chin Pik,27974.0,Star River 2,26/02/2025,Cornwall Street Squash Centre,3,3-0,Win,Away
Chan Chi Wah,34752.0,Star River 2,To Peter,25986.0,South China Athletic Association,26/02/2025,Cornwall Street Squash Centre,4,3-0,Win,Home
To Peter,25986.0,South China Athletic Association,Chan Chi Wah,34752.0,Star River 2,26/02/2025,Cornwall Street Squash Centre,4,0-3,Loss,Away
Li Zong Xiang,35108.0,Star River 2,Chan Alice Yin Ling,28608.0,South China Athletic Association,26/02/2025,Cornwall Street Squash Centre,5,1-3,Loss,Home
Chan Alice Yin Ling,28608.0,South China Athletic Association,Li Zong Xiang,35108.0,Star River 2,26/02/2025,Cornwall Street Squash Centre,5,3-1,Win,Away
Lee Hoi Yu,33269.0,North District Sports Association 1,Wei Miles Abraham,34139.0,Hong Kong Football Club 12B,26/02/2025,Pei Ho Street Sports Centre,1,3-1,Win,Home
Wei Miles Abraham,34139.0,Hong Kong Football Club 12B,Lee Hoi Yu,33269.0,North District Sports Association 1,26/02/2025,Pei Ho Street Sports Centre,1,1-3,Loss,Away
Lo Tin Lai,33165.0,North District Sports Association 1,Cheng Chen Kaja,33257.0,Hong Kong Football Club 12B,26/02/2025,Pei Ho Street Sports Centre,2,3-0,Win,Home
Cheng Chen Kaja,33257.0,Hong Kong Football Club 12B,Lo Tin Lai,33165.0,North District Sports Association 1,26/02/2025,Pei Ho Street Sports Centre,2,0-3,Loss,Away
Lee Hok Chung,33491.0,North District Sports Association 1,Lam Wai Ming,5239.0,Hong Kong Football Club 12B,26/02/2025,Pei Ho Street Sports Centre,3,3-0,Win,Home
Lam Wai Ming,5239.0,Hong Kong Football Club 12B,Lee Hok Chung,33491.0,North District Sports Association 1,26/02/2025,Pei Ho Street Sports Centre,3,0-3,Loss,Away
Leung Chung Hei,35012.0,North District Sports Association 1,Unknown,,Hong Kong Football Club 12B,26/02/2025,Pei Ho Street Sports Centre,4,CR,Win,Home
Unknown,,Hong Kong Football Club 12B,Leung Chung Hei,35012.0,North District Sports Association 1,26/02/2025,Pei Ho Street Sports Centre,4,CR,Loss,Away
Chan Hong Lam,34096.0,North District Sports Association 1,Unknown,,Hong Kong Football Club 12B,26/02/2025,Pei Ho Street Sports Centre,5,CR,Win,Home
Unknown,,Hong Kong Football Club 12B,Chan Hong Lam,34096.0,North District Sports Association 1,26/02/2025,Pei Ho Street Sports Centre,5,CR,Loss,Away
Yeung Karic Ying Ho,27266.0,Sea Bear,Ng Ngo Ching Matthew,30717.0,Latecomers,26/02/2025,Cornwall Street Squash Centre,1,0-3,Loss,Home
