Player Name,Team,Opponent Name,Opponent Team,Match Date,Venue,Rubber Number,Score,Result,Home/Away
Erro Davide,Hong Kong Club Blue,Chen Ricky C,Royal Hong Kong Yacht Club M4,13/03/2025,HK CLUB,1,0-3,Loss,Home
Chen Ricky C,Royal Hong Kong Yacht Club M4,Erro Davide,Hong Kong Club Blue,13/03/2025,HK CLUB,1,3-0,Win,Away
Lo Yue Hin,Hong Kong Club Blue,Tse Ray,Royal Hong Kong Yacht Club M4,13/03/2025,HK CLUB,2,2-3,Loss,Home
Tse Ray,Royal Hong Kong Yacht Club M4,Lo Yue Hin,Hong Kong Club Blue,13/03/2025,HK CLUB,2,3-2,Win,Away
Baram Derek,Hong Kong Club Blue,Ho Wai Keung,Royal Hong Kong Yacht Club M4,13/03/2025,HK CLUB,3,2-3,Loss,Home
Ho Wai Keung,Royal Hong Kong Yacht Club M4,Baram Derek,Hong Kong Club Blue,13/03/2025,HK CLUB,3,3-2,Win,Away
Hinchcliffe Robert Bruce,Hong Kong Club Blue,Oei Chuen Shek Joseph,Royal Hong Kong Yacht Club M4,13/03/2025,HK CLUB,4,1-3,Loss,Home
Oei Chuen Shek Joseph,Royal Hong Kong Yacht Club M4,Hinchcliffe Robert Bruce,Hong Kong Club Blue,13/03/2025,HK CLUB,4,3-1,Win,Away
Kendall Charles Richard,Hong Kong Club Blue,Chaudhry Ali,Royal Hong Kong Yacht Club M4,13/03/2025,HK CLUB,5,3-1,Win,Home
Chaudhry Ali,Royal Hong Kong Yacht Club M4,Kendall Charles Richard,Hong Kong Club Blue,13/03/2025,HK CLUB,5,1-3,Loss,Away
Chan Chi Ming,WAKO,Au Siu Fai,Hong Kong Football Club M4A,13/03/2025,Masters - Harbour Road Sports Centre,1,0-3,Loss,Home
Au Siu Fai,Hong Kong Football Club M4A,Chan Chi Ming,WAKO,13/03/2025,Masters - Harbour Road Sports Centre,1,3-0,Win,Away
Yiu Sai Ngoi,WAKO,Chow Kar Wah,Hong Kong Football Club M4A,13/03/2025,Masters - Harbour Road Sports Centre,2,3-1,Win,Home
Chow Kar Wah,Hong Kong Football Club M4A,Yiu Sai Ngoi,WAKO,13/03/2025,Masters - Harbour Road Sports Centre,2,1-3,Loss,Away
Chui Danny Kam Wah,WAKO,Ford Anthony,Hong Kong Football Club M4A,13/03/2025,Masters - Harbour Road Sports Centre,3,1-3,Loss,Home
Ford Anthony,Hong Kong Football Club M4A,Chui Danny Kam Wah,WAKO,13/03/2025,Masters - Harbour Road Sports Centre,3,3-1,Win,Away
Gaffney Noel Patrick,WAKO,Murray David,Hong Kong Football Club M4A,13/03/2025,Masters - Harbour Road Sports Centre,4,2-3,Loss,Home
Murray David,Hong Kong Football Club M4A,Gaffney Noel Patrick,WAKO,13/03/2025,Masters - Harbour Road Sports Centre,4,3-2,Win,Away
Mak Derek Kam Yuen,WAKO,Chau Phil,Hong Kong Football Club M4A,13/03/2025,Masters - Harbour Road Sports Centre,5,2-3,Loss,Home
Chau Phil,Hong Kong Football Club M4A,Mak Derek Kam Yuen,WAKO,13/03/2025,Masters - Harbour Road Sports Centre,5,3-2,Win,Away
Tong Chi On,United Services Recreation Club M4,Mong Hoi Ching Norman,SKCSC,13/03/2025,United Services Recreation Club,1,0-3,Loss,Home
Mong Hoi Ching Norman,SKCSC,Tong Chi On,United Services Recreation Club M4,13/03/2025,United Services Recreation Club,1,3-0,Win,Away
Chu Lap Sun,United Services Recreation Club M4,Leung Michael Yan Por,SKCSC,13/03/2025,United Services Recreation Club,2,1-3,Loss,Home
Leung Michael Yan Por,SKCSC,Chu Lap Sun,United Services Recreation Club M4,13/03/2025,United Services Recreation Club,2,3-1,Win,Away
Yam Ken Luen Kai,United Services Recreation Club M4,Chan Kin Hung Kit,SKCSC,13/03/2025,United Services Recreation Club,3,0-3,Loss,Home
Chan Kin Hung Kit,SKCSC,Yam Ken Luen Kai,United Services Recreation Club M4,13/03/2025,United Services Recreation Club,3,3-0,Win,Away
Leung Chi Wang Christopher,United Services Recreation Club M4,Wong Tony Wing Tung,SKCSC,13/03/2025,United Services Recreation Club,4,3-2,Win,Home
Wong Tony Wing Tung,SKCSC,Leung Chi Wang Christopher,United Services Recreation Club M4,13/03/2025,United Services Recreation Club,4,2-3,Loss,Away
Mirapuri Rajesh,United Services Recreation Club M4,Chui King Yat,SKCSC,13/03/2025,United Services Recreation Club,5,2-3,Loss,Home
Chui King Yat,SKCSC,Mirapuri Rajesh,United Services Recreation Club M4,13/03/2025,United Services Recreation Club,5,3-2,Win,Away
Kwan Kay Ho Kelvin,Hong Kong Football Club M4B,Martin Timothy,Bolton,13/03/2025,Hong Kong Football Club,1,0-3,Loss,Home
Martin Timothy,Bolton,Kwan Kay Ho Kelvin,Hong Kong Football Club M4B,13/03/2025,Hong Kong Football Club,1,3-0,Win,Away
Wong Javy Ki Ling,Hong Kong Football Club M4B,Wright Martin,Bolton,13/03/2025,Hong Kong Football Club,2,3-2,Win,Home
Wright Martin,Bolton,Wong Javy Ki Ling,Hong Kong Football Club M4B,13/03/2025,Hong Kong Football Club,2,2-3,Loss,Away
Etherington David,Hong Kong Football Club M4B,Gollop Stephen,Bolton,13/03/2025,Hong Kong Football Club,3,0-3,Loss,Home
Gollop Stephen,Bolton,Etherington David,Hong Kong Football Club M4B,13/03/2025,Hong Kong Football Club,3,3-0,Win,Away
Cheng Chen Kaja,Hong Kong Football Club M4B,Somers Jonathan,Bolton,13/03/2025,Hong Kong Football Club,4,3-2,Win,Home
Somers Jonathan,Bolton,Cheng Chen Kaja,Hong Kong Football Club M4B,13/03/2025,Hong Kong Football Club,4,2-3,Loss,Away
Wan Esther,Hong Kong Football Club M4B,Farran Andrew,Bolton,13/03/2025,Hong Kong Football Club,5,3-0,Win,Home
Farran Andrew,Bolton,Wan Esther,Hong Kong Football Club M4B,13/03/2025,Hong Kong Football Club,5,0-3,Loss,Away
