Player Name,HKS No.,Team,Opponent Name,Opponent HKS No.,Opponent Team,Match Date,Venue,Rubber Number,Score,Result,Home/Away
Chiu Ho Fai,25295.0,Hong Kong Cricket Club M1A,Ward Andrew,30509.0,Hong Kong Football Club M1B,14/11/2024,Hong Kong Cricket Club,1,0-3,Loss,Home
Ward Andrew,30509.0,Hong Kong Football Club M1B,Chiu Ho Fai,25295.0,Hong Kong Cricket Club M1A,14/11/2024,Hong Kong Cricket Club,1,3-0,Win,Away
Ekanayake Yeshan,33658.0,Hong Kong Cricket Club M1A,Chiu Ho Ming,25294.0,Hong Kong Football Club M1B,14/11/2024,Hong Kong Cricket Club,2,0-3,Loss,Home
Chiu Ho Ming,25294.0,Hong Kong Football Club M1B,Ekanayake Yeshan,33658.0,Hong Kong Cricket Club M1A,14/11/2024,Hong Kong Cricket Club,2,3-0,Win,Away
Janes Gareth,28987.0,Hong Kong Cricket Club M1A,Schaefer Rishad,31281.0,Hong Kong Football Club M1B,14/11/2024,Hong Kong Cricket Club,3,0-3,Loss,Home
Schaefer Rishad,31281.0,Hong Kong Football Club M1B,Janes Gareth,28987.0,Hong Kong Cricket Club M1A,14/11/2024,Hong Kong Cricket Club,3,3-0,Win,Away
Lau Dick Siu Wai,25832.0,Hong Kong Football Club M1A,Caves Christopher,29552.0,Ladies Recreation Club M1,14/11/2024,Hong Kong Football Club,1,3-0,Win,Home
Caves Christopher,29552.0,Ladies Recreation Club M1,Lau Dick Siu Wai,25832.0,Hong Kong Football Club M1A,14/11/2024,Hong Kong Football Club,1,0-3,Loss,Away
Yu Vincent Hok Yan,25930.0,Hong Kong Football Club M1A,Brantly Charles,32208.0,Ladies Recreation Club M1,14/11/2024,Hong Kong Football Club,2,3-0,Win,Home
Brantly Charles,32208.0,Ladies Recreation Club M1,Yu Vincent Hok Yan,25930.0,Hong Kong Football Club M1A,14/11/2024,Hong Kong Football Club,2,0-3,Loss,Away
Pun Teddy,33217.0,Hong Kong Football Club M1A,Unknown,,Ladies Recreation Club M1,14/11/2024,Hong Kong Football Club,3,3-0,Win,Home
Unknown,,Ladies Recreation Club M1,Pun Teddy,33217.0,Hong Kong Football Club M1A,14/11/2024,Hong Kong Football Club,3,0-3,Loss,Away
