Order,Player,HKS No.,Ranking,Points,Team
1,Bedouillat Vincent,33014,0,0.0,Centre Squash
2,Cheung Ka Lun Alan,32553,0,0.0,Centre Squash
3,Shekhawat Tushar,32804,0,0.0,Centre Squash
4,Chevaux Alexander,34489,0,0.0,Centre Squash
5,Coutarel Brice Pierre Robert,34057,0,0.0,Centre Squash
6,Ren Jean-Philippe,34928,0,0.0,Centre Squash
7,Grillo Francesco,32805,0,0.0,Centre Squash
8,Thomere Mark,33638,0,0.0,Centre Squash
9,Jensen Jonathan,33798,0,0.0,Centre Squash
10,Curtil Ludovic,34929,0,0.0,Centre Squash
11,Raffo Jason Kevin,34930,0,0.0,Centre Squash
12,Li Paul Lok San,33797,0,0.0,Centre Squash
1,Cheung Alan Wing Lun,25168,0,0.0,Friend Club
2,Chu Raymond Wai Man,25974,0,0.0,Friend Club
3,Mong Hoi Ching Norman,26529,0,0.0,Friend Club
4,Ip Chun Keung,25979,0,0.0,Friend Club
5,Wong Ho Sang,30360,0,0.0,Friend Club
6,Yau Raymond Chung Yiu,26423,0,0.0,Friend Club
7,Chang Willon Wing Leung,22427,0,0.0,Friend Club
1,Lee Lawrence Chi Hung,28004,0,0.0,Hong Kong Football Club 9
2,Chow Kar Wah,23072,0,0.0,Hong Kong Football Club 9
3,Wright Martin,29202,0,0.0,Hong Kong Football Club 9
4,Jones Robert F.,27122,0,0.0,Hong Kong Football Club 9
5,McAuslan Gary,25353,0,0.0,Hong Kong Football Club 9
6,Murray David,27253,0,0.0,Hong Kong Football Club 9
7,Clutterbuck Elliott Letlik,34997,0,0.0,Hong Kong Football Club 9
8,Chan Gordon Yiu Cheong,27589,0,0.0,Hong Kong Football Club 9
9,Wei Mia Lynn,34140,0,0.0,Hong Kong Football Club 9
1,Ko Toby Ho Yin,28189,0,0.0,HKPF Squash Team
2,Lau Shing Chung Simon,19777,0,0.0,HKPF Squash Team
3,Chan Ho Lam,31051,0,0.0,HKPF Squash Team
4,Leung Man Wah,26498,0,0.0,HKPF Squash Team
5,Chan Po Sing,7420,0,0.0,HKPF Squash Team
6,Chan Bill Kwok Ming,20215,0,0.0,HKPF Squash Team
7,Siu William Chak Man,26273,0,0.0,HKPF Squash Team
8,Mak Derek Kam Yuen,7883,0,0.0,HKPF Squash Team
1,Trivedi Anirudh,32217,0,0.0,i-Mask Advance Squash Club 3
2,Au Yeung Albert Tsz Hung,23015,0,0.0,i-Mask Advance Squash Club 3
3,Ho Helen Sin Man,27854,0,0.0,i-Mask Advance Squash Club 3
4,Cheung Henry Hei Wa,32044,0,0.0,i-Mask Advance Squash Club 3
5,Hegde Vishal,34293,0,0.0,i-Mask Advance Squash Club 3
6,Kong Yuk Hang Jason,32043,0,0.0,i-Mask Advance Squash Club 3
7,Lee Wing Lam,30753,0,0.0,i-Mask Advance Squash Club 3
1,Yim Man Ching,32765,0,0.0,Kowloon Cricket Club 9
2,Wan Pauline Yuen Ping,26325,0,0.0,Kowloon Cricket Club 9
3,Choy Yuk Kwong Donnie,3206,0,0.0,Kowloon Cricket Club 9
4,Cheung Coco Oi Yan,26154,0,0.0,Kowloon Cricket Club 9
5,Yip Kent Chi Bun,25547,0,0.0,Kowloon Cricket Club 9
6,Kundamal Khiron,33187,0,0.0,Kowloon Cricket Club 9
7,Kundamal Neel,33188,0,0.0,Kowloon Cricket Club 9
8,Lo Tin Yee Clement,11972,0,0.0,Kowloon Cricket Club 9
9,Chow Mark Yu Cheuk,17782,0,0.0,Kowloon Cricket Club 9
10,Law Kelvin Ka Cheong,24999,0,0.0,Kowloon Cricket Club 9
11,Yuen Tommy Wai Kwong,17118,0,0.0,Kowloon Cricket Club 9
12,Siu Cecilia Ching Man,22723,0,0.0,Kowloon Cricket Club 9
13,Tse Deona Kit Yee,20568,0,0.0,Kowloon Cricket Club 9
1,Wu Ka Ho,34383,0,0.0,Kwai Tsing District Squash Club
2,Ho Gary Ming Fai,23479,0,0.0,Kwai Tsing District Squash Club
3,Tsang Yan Kiu,31880,0,0.0,Kwai Tsing District Squash Club
4,Li Keung Shing,23473,0,0.0,Kwai Tsing District Squash Club
5,Lee Leo Chi Kin,27894,0,0.0,Kwai Tsing District Squash Club
6,Lam Chi Chris,33243,0,0.0,Kwai Tsing District Squash Club
7,Ching Tsz Pan,23477,0,0.0,Kwai Tsing District Squash Club
1,Andersson Greger,27672,0,0.0,The Best Group 2
2,Wong Rames Wang Lung,24280,0,0.0,The Best Group 2
3,Leung Eugene Chi Hang,27774,0,0.0,The Best Group 2
4,Chan Cheuk Kee,31383,0,0.0,The Best Group 2
5,Watt Ka Chun Ringo,34141,0,0.0,The Best Group 2
6,Ho Sung Hon,34912,0,0.0,The Best Group 2
7,Cheng Chi Wah,25693,0,0.0,The Best Group 2
8,Wong Ka Ming Alan,30543,0,0.0,The Best Group 2
