Order,Player,HKS No.,Ranking,Points,Team
1,Lau Chun Kin,34520,2,26.25,Electrify Squash Div 13
2,Lee Ching Long,33881,12,21.6,Electrify Squash Div 13
3,Ho Kwan Ho,33614,15,21.38,Electrify Squash Div 13
4,Lo Hoi Fung Douglas,33984,9,22.5,Electrify Squash Div 13
5,Chiu Yin Ching Taylor,33888,0,15.0,Electrify Squash Div 13
6,Tse Tin Po,32669,0,22.0,Electrify Squash Div 13
7,Leung Long Hin,33985,20,19.29,Electrify Squash Div 13
8,Bai Bowen,33955,33,16.5,Electrify Squash Div 13
9,Yeung Chi Kit,34532,29,16.8,Electrify Squash Div 13
10,Leung Yuk Ming,34030,66,10.0,Electrify Squash Div 13
11,Chung Kwok Kui,33989,44,14.5,Electrify Squash Div 13
1,Cheung Hei Yu,34082,1,27.0,Energy Squash Club 1
2,Wong Wang Ching,33784,0,15.0,Energy Squash Club 1
3,Tam Ming Wai,34250,11,22.0,Energy Squash Club 1
4,Lam Tsz Yan,34038,49,13.29,Energy Squash Club 1
5,So Hau Yi,34271,18,19.8,Energy Squash Club 1
6,Zhao Ling Ban,34292,0,17.0,Energy Squash Club 1
7,Ho Chun Lok,33910,0,11.25,Energy Squash Club 1
8,Ho Chun Yin,34448,0,11.0,Energy Squash Club 1
9,Wong Yi Ching Mia,34457,43,14.62,Energy Squash Club 1
10,Chung Hau Yi,34603,53,12.75,Energy Squash Club 1
11,Tam Ming Hei,34580,82,5.5,Energy Squash Club 1
12,Or  Caleb Ka Nok,34798,80,6.0,Energy Squash Club 1
1,Wong Ryan,34017,51,12.9,Energy Squash Club 2
2,Wong Jace,33866,19,19.71,Energy Squash Club 2
3,Cheung Ryan Hayden,34267,28,17.4,Energy Squash Club 2
4,Kwan Hoi Ching,33900,0,17.0,Energy Squash Club 2
5,Bei Chi Ting,34242,22,19.12,Energy Squash Club 2
6,Lee Nok Tin,34214,23,18.86,Energy Squash Club 2
7,Wong Darren,33893,59,11.0,Energy Squash Club 2
8,Chan Clarence,34044,84,4.71,Energy Squash Club 2
1,Szeto Jonas,34020,6,23.14,Fusion Squash Club 2
2,Pun William,34033,10,22.29,Fusion Squash Club 2
3,Liu Yang,34270,0,19.5,Fusion Squash Club 2
4,Cheng Hiu Tung,34026,48,13.5,Fusion Squash Club 2
5,Lam Audrey Lok Yi,33941,58,11.33,Fusion Squash Club 2
6,Wang Youying,34309,38,15.38,Fusion Squash Club 2
7,Ng Aurelia Kiu Hei,34302,52,12.86,Fusion Squash Club 2
1,Lau Sze Tung,33961,32,16.62,Happy Squash 4
2,Lau Cheuk Yan,34284,25,18.0,Happy Squash 4
3,Cheung Yu Pak,34314,70,9.6,Happy Squash 4
4,Yip Tin Rong,34586,77,6.67,Happy Squash 4
5,Koo Ching Yin Serene,34700,67,9.9,Happy Squash 4
6,Fong Sze Yu Ella,34880,79,6.0,Happy Squash 4
7,Li Hiu Yan,34682,85,2.5,Happy Squash 4
1,Zhang Ting Ze,34019,0,21.0,HKIS Div 13
2,Ko Jinhyo,34068,0,12.75,HKIS Div 13
3,Pong Pak Him Matthias,34303,27,18.0,HKIS Div 13
4,Wang Tristan Xiao Feng,34207,39,15.33,HKIS Div 13
5,Lui Paktong Lilian,33158,16,21.0,HKIS Div 13
6,Lui Pakying Jaclyn,33159,0,19.5,HKIS Div 13
7,Xiang Anna,33477,73,9.0,HKIS Div 13
8,Lai Tongtong,34765,55,11.57,HKIS Div 13
1,Chung Shun Yeung,35022,3,24.0,i-Mask Advance Squash Club 5
2,Lee Winston Kim Wa,26219,0,24.0,i-Mask Advance Squash Club 5
3,Jiang Ziwei Forrest,34810,21,19.29,i-Mask Advance Squash Club 5
4,Xie Yu Hin,33839,0,0.0,i-Mask Advance Squash Club 5
5,Wong Hiu Ching,33620,0,13.0,i-Mask Advance Squash Club 5
6,Wong Wun Yin,34039,0,15.0,i-Mask Advance Squash Club 5
7,Chen Yat Kuen,34116,40,15.0,i-Mask Advance Squash Club 5
8,Yuen Tsz Tang,35013,65,10.12,i-Mask Advance Squash Club 5
9,Wong Tsz Long,34131,81,6.0,i-Mask Advance Squash Club 5
1,Lee Yin Fung,33831,7,22.88,Kinetic 4
2,Yung Hei Pui,34301,36,15.86,Kinetic 4
3,Jayasuriya Sanjaya,34793,72,9.6,Kinetic 4
4,Lo Long Yue Alwina,34294,0,11.25,Kinetic 4
5,Li Siu Ting,34636,71,9.6,Kinetic 4
6,Cheung Hau Yat,34652,62,10.8,Kinetic 4
7,Leung Tsz Lam,34696,76,7.2,Kinetic 4
8,Chow Hiu Sing,34546,68,9.86,Kinetic 4
9,Yung Wai Kiu,34634,0,6.0,Kinetic 4
10,Wong Chung Fai,34746,75,7.2,Kinetic 4
11,Yung Wai Ho,34689,0,6.0,Kinetic 4
12,Cheung Hing Kin,35014,61,10.8,Kinetic 4
1,Yiu Cheuk Fung,33744,5,23.14,Sha Tin 6
2,Yam Tsz Hei,34218,14,21.5,Sha Tin 6
3,Chen Nicole,33435,25,18.0,Sha Tin 6
4,Li Kin,34409,60,11.0,Sha Tin 6
5,Chau Ka Chung,31611,56,11.5,Sha Tin 6
6,Chang Ka Hei,34410,42,14.7,Sha Tin 6
7,Cheung Lok Chi,32078,0,9.0,Sha Tin 6
1,Chiba Fouad,34490,17,20.0,SocGen Squash
2,Rambaud- Chanoz Nicolas,34493,33,16.5,SocGen Squash
3,Jain Shlok,34540,46,13.64,SocGen Squash
4,Lathia Areeb,34871,35,15.9,SocGen Squash
5,Benzimra Frank,34496,0,0.0,SocGen Squash
6,Chan Sze Wing,34494,57,11.4,SocGen Squash
7,Kwan Chi Man,34946,0,1.5,SocGen Squash
8,Tong Kai Hin,34492,37,15.5,SocGen Squash
1,Tse Tin Yui,34042,4,23.5,X-Alpha 5
2,Man Yu Hin,34036,8,22.8,X-Alpha 5
3,Tang Yik Lam Cherise,33931,31,16.71,X-Alpha 5
4,Man Yu Ching,33953,45,14.25,X-Alpha 5
5,Tse Tin Yiu,34041,47,13.5,X-Alpha 5
6,Chan Ming Hei,34356,78,6.5,X-Alpha 5
7,Cheng Chung Yan,34584,63,10.5,X-Alpha 5
8,Cheng Chung Yin,34585,83,5.0,X-Alpha 5
9,Wong Kwun Hin,34725,0,11.25,X-Alpha 5
10,Ho Sze Wing,34727,0,12.0,X-Alpha 5
1,Tam Yat Yin,33440,13,21.6,Yuen Long District Sports Association Limited
2,Huen Sze Chit,34275,30,16.8,Yuen Long District Sports Association Limited
3,Law Tsz Ham,33932,24,18.5,Yuen Long District Sports Association Limited
4,Mo Chun Hei,34075,41,15.0,Yuen Long District Sports Association Limited
5,Liftinger Gregor,35002,50,13.0,Yuen Long District Sports Association Limited
