Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
1,Kwok Lai Yin,X-Alpha 2,25.0,225,9,9,0,5,1.0
2,Ng Yat Long,X-Alpha 2,24.75,396,16,16,0,5,1.0
3,Bai Ethan Hao Wen,Hong Kong Football Club 5B,22.09,243,11,8,3,5,0.7272727272727273
4,Amjad Zain,Hong Kong Football Club 5A,21.8,327,15,10,5,5,0.6666666666666666
5,Wong Ho Kiu,Hong Kong Football Club 5A,21.53,366,17,15,2,5,0.8823529411764706
6,Leung Chun Ho,Happy Squash 2,20.65,351,17,12,5,5,0.7058823529411765
7,Yeung Kai San,The Squash Club 1,20.36,285,14,9,5,5,0.6428571428571429
8,Li James King Hei,Physical Chess 1,20.14,141,7,7,0,5,1.0
9,Chui King Yin,X-Alpha 2,19.88,318,16,14,2,5,0.875
10,Salahuddin,Squashathon,19.75,237,12,7,5,5,0.5833333333333334
11,Chung King Lam,Physical Chess 1,19.5,234,12,6,6,5,0.5
12,Chan Terence Yiu Ki,Uncle,19.17,345,18,12,6,5,0.6666666666666666
13,Shum Peter,Hong Kong Football Club 5A,18.23,237,13,11,2,5,0.8461538461538461
14,Tang Ching Sum,Hong Kong Football Club 5B,18.0,144,8,7,1,5,0.875
15,Cheung Chi Yan,Hong Kong Football Club 5A,17.79,249,14,11,3,5,0.7857142857142857
16,Gray Jonathan,Uncle,17.57,246,14,6,8,5,0.42857142857142855
17,Leung Kwan Ching,Hong Kong Racketlon Association 1,17.45,192,11,7,4,5,0.6363636363636364
18,Ng Ho Ching,Hong Kong Football Club 5A,17.25,138,8,7,1,5,0.875
19,Tam Thomas Siu Ying,Physical Chess 1,17.25,138,8,5,3,5,0.625
20,Ng Tsz Chun,Squashathon,17.18,189,11,4,7,5,0.36363636363636365
21,Chiu Rebecca Wing Yin,The Squash Club 1,17.0,102,6,4,2,5,0.6666666666666666
22,Fung King To,The Squash Club 1,16.85,219,13,6,7,5,0.46153846153846156
23,Yip Ho Cheong,Physical Chess 1,16.5,198,12,8,4,5,0.6666666666666666
24,Lee Hei Nam,Hong Kong Racketlon Association 1,16.5,198,12,3,9,5,0.25
25,Cheuk Chun Hei,Physical Chess 1,15.86,111,7,5,2,5,0.7142857142857143
26,Ching Ho Nam Bruce,Physical Chess 1,15.82,174,11,10,1,5,0.9090909090909091
27,Yeung Yurisa,Hong Kong Football Club 5A,15.6,78,5,5,0,5,1.0
28,Tse Long Hin,Physical Chess 1,15.43,108,7,7,0,5,1.0
29,Lai Alvin Ka Kit,Hong Kong Racketlon Association 1,15.33,138,9,4,5,5,0.4444444444444444
30,Chan Anson Chi Him,Happy Squash 2,15.18,258,17,10,7,5,0.5882352941176471
31,Cheung Chun,Hong Kong Racketlon Association 1,15.0,90,6,0,6,5,0.0
32,Fung Stephen Tsz Pan,Uncle,14.83,267,18,7,11,5,0.3888888888888889
33,Chiu Hau Ching,Hong Kong Football Club 5B,14.5,174,12,7,5,5,0.5833333333333334
34,Choi Ho Laam,Hong Kong Racketlon Association 1,14.4,144,10,4,6,5,0.4
35,Lam Yin Tung,Happy Squash 2,14.36,201,14,4,10,5,0.2857142857142857
36,Yu Wang Chi,X-Alpha 2,14.18,156,11,7,4,5,0.6363636363636364
37,Tang Hoo Lang,Squashathon,14.0,126,9,3,6,5,0.3333333333333333
38,Lam Yan Kiu,Hong Kong Racketlon Association 1,13.5,162,12,10,2,5,0.8333333333333334
39,Leung Sum Nam,Squashathon,13.5,162,12,5,7,5,0.4166666666666667
40,Hung Tak Ching,X-Alpha 2,13.36,147,11,9,2,5,0.8181818181818182
41,Xin Shangxuan,The Squash Club 1,13.2,66,5,3,2,5,0.6
42,Wong Chun Fai,The Squash Club 1,13.15,171,13,4,9,5,0.3076923076923077
43,Kwong Sarah Wing Yan,Hong Kong Racketlon Association 1,13.09,144,11,5,6,5,0.45454545454545453
44,Lee Ka Fai Peterson,i-Mask Advance Squash Club 1,12.67,114,9,0,9,5,0.0
45,Cassidy Makaela Lin,Hong Kong Football Club 5B,12.33,111,9,1,8,5,0.1111111111111111
46,Lo Sing Chi,i-Mask Advance Squash Club 1,12.0,120,10,0,10,5,0.0
47,Leung Sum Yi,Squashathon,11.57,81,7,5,2,5,0.7142857142857143
48,Lau Justin Kai Tung,Squashathon,11.5,69,6,3,3,5,0.5
49,Li Oliver,Hong Kong Football Club 5B,10.88,87,8,0,8,5,0.0
50,Fung Thomas Ho On,Squashathon,10.33,93,9,3,6,5,0.3333333333333333
51,Cheung Ka Man,X-Alpha 2,10.29,72,7,4,3,5,0.5714285714285714
52,Chow Tat Keung,i-Mask Advance Squash Club 1,10.15,132,13,1,12,5,0.07692307692307693
53,Law Tom Kwok Keung,Uncle,10.06,171,17,7,10,5,0.4117647058823529
54,Leung Tsz Shan,X-Alpha 2,10.0,60,6,3,3,5,0.5
55,Chan Ka Long Leo,The Squash Club 1,9.82,108,11,4,7,5,0.36363636363636365
56,Tam Ji Jun,Squashathon,9.75,78,8,3,5,5,0.375
57,Kan Ken Chun Kit,The Squash Club 1,9.6,48,5,3,2,5,0.6
58,Lai Thomas Chun Sang,Physical Chess 1,9.6,48,5,1,4,5,0.2
59,Wei Stephen J.,Hong Kong Football Club 5A,9.5,114,12,6,6,5,0.5
60,Law Hei Yau,Happy Squash 2,9.5,114,12,5,7,5,0.4166666666666667
61,Cheung Tin Yui,Happy Squash 2,9.46,123,13,8,5,5,0.6153846153846154
62,Wong Tsz Him,Physical Chess 1,9.43,66,7,4,3,5,0.5714285714285714
63,Wong Chung Ching Karen,Physical Chess 1,9.0,54,6,4,2,5,0.6666666666666666
64,Lai Ming Chak Marco,X-Alpha 2,8.7,87,10,4,6,5,0.4
65,Ho Miu Sze,i-Mask Advance Squash Club 1,8.62,69,8,2,6,5,0.25
66,Au Pak Ki,Hong Kong Football Club 5B,8.57,120,14,6,8,5,0.42857142857142855
67,Cheng Steven Wai Kit,Hong Kong Racketlon Association 1,8.45,93,11,6,5,5,0.5454545454545454
