Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
1,Wong Tsz Wang Clayton,Squashathon One,24.86,348,14,12,2,15A,0.8571428571428571
2,Morris Brandon Quinn,United Services Recreation Club 4,24.0,312,13,13,0,15A,1.0
3,Wang Yi,Royal Hong Kong Yacht Club Div 15,23.33,210,9,8,1,15A,0.8888888888888888
4,Li Zoe,HKIS Div 15,22.93,321,14,10,4,15A,0.7142857142857143
5,Wong Ho Tong,Physical Chess 5,21.0,252,12,7,5,15A,0.5833333333333334
6,Chiu Sai Kwong,Royal Hong Kong Yacht Club Div 15,21.0,147,7,4,3,15A,0.5714285714285714
7,Lai Ming Wah,Royal Hong Kong Yacht Club Div 15,19.85,258,13,11,2,15A,0.8461538461538461
8,Verma Kanay,HKIS Div 15,19.75,237,12,10,2,15A,0.8333333333333334
9,Tam Wai Pui,Sha Tin 7,19.29,135,7,3,4,15A,0.42857142857142855
10,Ho Wai Keung,Royal Hong Kong Yacht Club Div 15,19.0,114,6,3,3,15A,0.5
11,Heng Ashton,Hong Kong Cricket Club 8,18.6,186,10,8,2,15A,0.8
12,Lee Chun Yuen Aiden,United Services Recreation Club 4,18.38,147,8,8,0,15A,1.0
13,Davey Lucas Philip,Hong Kong Cricket Club 8,18.21,255,14,9,5,15A,0.6428571428571429
14,Dong Ka Chung Jacky,Royal Hong Kong Yacht Club Div 15,18.0,180,10,10,0,15A,1.0
15,Pang Man Hei,Sha Tin 7,18.0,90,5,2,3,15A,0.4
16,Lee Man Yu,Sha Tin 7,17.0,204,12,11,1,15A,0.9166666666666666
17,Chiu Yee Lai,Royal Hong Kong Yacht Club Div 15,16.93,237,14,11,3,15A,0.7857142857142857
18,Mak Jaden,United Services Recreation Club 4,16.5,165,10,6,4,15A,0.6
19,Wong Tsz Him,Sha Tin 7,15.92,207,13,4,9,15A,0.3076923076923077
20,Wong Chi Kin,Squashathon One,15.8,237,15,10,5,15A,0.6666666666666666
21,Lee Austin,Hong Kong Cricket Club 8,15.6,156,10,3,7,15A,0.3
22,Chung Yin Lok Aiden,United Services Recreation Club 4,15.5,93,6,2,4,15A,0.3333333333333333
23,Fung Tin Lok,Physical Chess 5,15.38,123,8,4,4,15A,0.5
24,Chan Yuen Hei,Physical Chess 5,15.21,213,14,10,4,15A,0.7142857142857143
25,Chang Nga Pui,United Services Recreation Club 4,15.0,75,5,2,3,15A,0.4
26,Chow Qing,Squashathon One,14.81,237,16,6,10,15A,0.375
27,Shah Anaisha Malay,United Services Recreation Club 4,14.73,162,11,5,6,15A,0.45454545454545453
28,Chan Chun Yin Edwin,Royal Hong Kong Yacht Club Div 15,14.62,117,8,6,2,15A,0.75
29,Chung Chun Ho,Squashathon One,14.0,84,6,3,3,15A,0.5
30,Huang William Yijia,Hong Kong Cricket Club 8,13.85,180,13,8,5,15A,0.6153846153846154
31,Cheung Ka Wing,Squashathon One,13.5,135,10,3,7,15A,0.3
