,Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
0,i-Mask Advance Squash Club 7,v,i-Mask Advance Squash Club 8,Cornwall Street Squash Centre,19:00,"4-1(0-3,3-0,3-0,3-0,CR)",1,06/10/2023
1,Vitality Squash 2,v,Fusion Squash Club 2,HK Squash Centre,19:00,"0-5(1-3,0-3,1-3,0-3,0-3)",1,06/10/2023
2,Smart Squash 2,v,Happy Squash 3,Tai Po Sports Ground,19:00,"1-4(2-3,1-3,1-3,3-1,0-3)",1,06/10/2023
3,X-Alpha 4,v,Friend Club 6,Pei Ho Street Sports Centre,19:00,"5-0(3-0,3-1,3-0,3-0,3-0)",1,06/10/2023
4,X-Alpha 4,v,i-Mask Advance Squash Club 7,Pei Ho Street Sports Centre,19:00,"5-0(3-0,3-0,3-0,3-0,3-0)",2,13/10/2023
5,i-Mask Advance Squash Club 8,v,Smart Squash 2,HK Squash Centre,19:00,"4-1(3-0,1-3,3-2,3-0,3-0)",2,13/10/2023
6,Happy Squash 3,v,Fusion Squash Club 2,Yeung Uk Road Sports Centre,19:00,"1-4(3-0,0-3,0-3,0-3,1-3)",2,13/10/2023
7,Friend Club 6,v,Vitality Squash 2,Kwun Chung Sports Centre,19:00,"2-3(0-3,3-1,0-3,3-0,0-3)",2,13/10/2023
8,Vitality Squash 2,v,Happy Squash 3,HK Squash Centre,19:00,"5-0(3-1,3-1,3-1,3-0,3-1)",3,20/10/2023
9,i-Mask Advance Squash Club 8,v,Fusion Squash Club 2,HK Squash Centre,19:00,"2-3(3-1,3-2,0-3,0-3,0-3)",3,20/10/2023
10,X-Alpha 4,v,Smart Squash 2,Pei Ho Street Sports Centre,19:00,"5-0(3-0,3-0,3-0,3-0,3-0)",3,20/10/2023
11,i-Mask Advance Squash Club 7,v,Friend Club 6,Cornwall Street Squash Centre,19:00,"4-1(2-3,3-0,3-0,3-0,3-0)",3,20/10/2023
12,i-Mask Advance Squash Club 7,v,Smart Squash 2,Cornwall Street Squash Centre,19:00,"0-5(0-3,0-3,CR,CR,CR)",4,03/11/2023
13,Fusion Squash Club 2,v,X-Alpha 4,HK Squash Centre,19:00,"2-3(3-0,1-3,3-2,0-3,0-3)",4,03/11/2023
14,i-Mask Advance Squash Club 8,v,Vitality Squash 2,HK Squash Centre,19:00,"1-4(3-1,0-3,0-3,0-3,CR)",4,03/11/2023
15,Friend Club 6,v,Happy Squash 3,Cornwall Street Squash Centre,19:00,"3-2(3-1,1-3,3-1,0-3,3-0)",4,03/11/2023
16,Happy Squash 3,v,i-Mask Advance Squash Club 8,Wai Tsuen Sports Centre,19:00,"5-0(CR,CR,CR,CR,CR)",5,10/11/2023
17,Vitality Squash 2,v,X-Alpha 4,HK Squash Centre,19:00,"1-4(3-2,1-3,0-3,0-3,0-3)",5,10/11/2023
18,Fusion Squash Club 2,v,i-Mask Advance Squash Club 7,HK Squash Centre,19:00,"5-0(CR,CR,CR,CR,CR)",5,10/11/2023
19,Smart Squash 2,v,Friend Club 6,Tai Po Sports Ground,19:00,"4-1(0-3,3-1,CR,CR,CR)",5,10/11/2023
20,Fusion Squash Club 2,v,Smart Squash 2,HK Squash Centre,19:00,"5-0(3-1,3-0,3-0,3-0,CR)",6,17/11/2023
