Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Ladies Recreation Club Div 18,66.66666666666666,66.66666666666666,66.66666666666666,100.0,100.0,80.0,13
Electrify Squash Div 18,60.0,60.0,75.0,100.0,100.0,79.0,22
Sha Tin Squash Rackets Club 7,33.33333333333333,66.66666666666666,66.66666666666666,100.0,100.0,73.33333333333333,12
Hong Kong Football Club 18,75.0,75.0,50.0,50.0,75.0,65.0,20
Sky Fighter,100.0,66.66666666666666,66.66666666666666,0.0,0.0,46.666666666666664,13
Vitality Squash 3,66.66666666666666,50.0,100.0,0.0,0.0,43.33333333333333,8
Physical Chess 5,50.0,0.0,50.0,75.0,25.0,40.0,20
Hong Kong Cricket Club 8,80.0,20.0,40.0,25.0,33.33333333333333,39.666666666666664,22
Kowloon Cricket Club 18,0.0,66.66666666666666,0.0,66.66666666666666,50.0,36.666666666666664,14
North District Sports Association 3,20.0,80.0,25.0,25.0,0.0,30.0,19
Fusion Squash Club 3,0.0,50.0,0.0,0.0,0.0,10.0,18
Elite Team,0.0,25.0,0.0,0.0,0.0,5.0,14
