Player Name,HKS No.,Team,Opponent Name,Opponent HKS No.,Opponent Team,Match Date,Venue,Rubber Number,Score,Result,Home/Away
Wong Kirstie Po Yui,30423,Hong Kong Cricket Club L1,Tang Helen,32404,Hong Kong Football Club L1,11/12/2025,Hong Kong Cricket Club,1,3-1,Win,Home
Tang Helen,32404,Hong Kong Football Club L1,Wong Kirstie Po Yui,30423,Hong Kong Cricket Club L1,11/12/2025,Hong Kong Cricket Club,1,1-3,Loss,Away
Wai Sze Wing,31176,Hong Kong Cricket Club L1,Tang Ka Ki,33063,Hong Kong Football Club L1,11/12/2025,Hong Kong Cricket Club,2,3-0,Win,Home
Tang Ka Ki,33063,Hong Kong Football Club L1,Wai Sze Wing,31176,Hong Kong Cricket Club L1,11/12/2025,Hong Kong Cricket Club,2,0-3,Loss,Away
Wong Po Sze Jessica,29770,Hong Kong Cricket Club L1,Tang Ching Sum,33280,Hong Kong Football Club L1,11/12/2025,Hong Kong Cricket Club,3,1-3,Loss,Home
Tang Ching Sum,33280,Hong Kong Football Club L1,Wong Po Sze Jessica,29770,Hong Kong Cricket Club L1,11/12/2025,Hong Kong Cricket Club,3,3-1,Win,Away
Cheng Nga Ching,29632,Kowloon Cricket Club L1A,* Chan Sin Yuk,30226,JESSICA L1,11/12/2025,Kowloon Cricket Club,1,0-3,Loss,Home
* Chan Sin Yuk,30226,JESSICA L1,Cheng Nga Ching,29632,Kowloon Cricket Club L1A,11/12/2025,Kowloon Cricket Club,1,3-0,Win,Away
Tse Toby Yee Lam,31163,Kowloon Cricket Club L1A,Leung Ka Huen,31882,JESSICA L1,11/12/2025,Kowloon Cricket Club,2,3-1,Win,Home
Leung Ka Huen,31882,JESSICA L1,Tse Toby Yee Lam,31163,Kowloon Cricket Club L1A,11/12/2025,Kowloon Cricket Club,2,1-3,Loss,Away
Lam Po Ying,31022,Kowloon Cricket Club L1A,Chung Yee Ling Elaine,32184,JESSICA L1,11/12/2025,Kowloon Cricket Club,3,3-0,Win,Home
Chung Yee Ling Elaine,32184,JESSICA L1,Lam Po Ying,31022,Kowloon Cricket Club L1A,11/12/2025,Kowloon Cricket Club,3,0-3,Loss,Away
