Player Name,HKS No.,Team,Opponent Name,Opponent HKS No.,Opponent Team,Match Date,Venue,Rubber Number,Score,Result,Home/Away
Davey Lucas Philip,34240,Hong Kong Cricket Club D15,Morris Brandon Quinn,34203,United Services Recreation Club 4,29/11/2025,Hong Kong Cricket Club,1,0-3,Loss,Home
Morris Brandon Quinn,34203,United Services Recreation Club 4,Davey Lucas Philip,34240,Hong Kong Cricket Club D15,29/11/2025,Hong Kong Cricket Club,1,3-0,Win,Away
Lee Austin,33826,Hong Kong Cricket Club D15,Chang Nga Pui,35131,United Services Recreation Club 4,29/11/2025,Hong Kong Cricket Club,2,3-2,Win,Home
Chang Nga Pui,35131,United Services Recreation Club 4,Lee Austin,33826,Hong Kong Cricket Club D15,29/11/2025,Hong Kong Cricket Club,2,2-3,Loss,Away
Agarwal Priyaan,34577,Hong Kong Cricket Club D15,Shah Anaisha Malay,33625,United Services Recreation Club 4,29/11/2025,Hong Kong Cricket Club,3,3-1,Win,Home
Shah Anaisha Malay,33625,United Services Recreation Club 4,Agarwal Priyaan,34577,Hong Kong Cricket Club D15,29/11/2025,Hong Kong Cricket Club,3,1-3,Loss,Away
Mishra Swanik,34308,Hong Kong Cricket Club D15,Zheng Seng Chi,35570,United Services Recreation Club 4,29/11/2025,Hong Kong Cricket Club,4,0-3,Loss,Home
Zheng Seng Chi,35570,United Services Recreation Club 4,Mishra Swanik,34308,Hong Kong Cricket Club D15,29/11/2025,Hong Kong Cricket Club,4,3-0,Win,Away
Dangayach Abir,35442,Hong Kong Cricket Club D15,Morris Edwin,35468,United Services Recreation Club 4,29/11/2025,Hong Kong Cricket Club,5,3-0,Win,Home
Morris Edwin,35468,United Services Recreation Club 4,Dangayach Abir,35442,Hong Kong Cricket Club D15,29/11/2025,Hong Kong Cricket Club,5,0-3,Loss,Away
