Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
1,Tse Toby Yee Lam,Kowloon Cricket Club L1A,22.5,135,6,5,1,Premier Ladies,0.8333333333333334
2,Ho Tomato Tze Lok,Hong Kong Football Club L1,21.6,108,5,4,1,Premier Ladies,0.8
3,Wong Kirstie Po Yui,Hong Kong Cricket Club L1,21.0,105,5,3,2,Premier Ladies,0.6
4,Liu Tsz Ling,Kowloon Cricket Club L1A,19.5,117,6,5,1,Premier Ladies,0.8333333333333334
5,Fung Ching Hei,Hong Kong Football Club L1,19.2,96,5,4,1,Premier Ladies,0.8
6,Tang Helen,Hong Kong Football Club L1,19.0,114,6,4,2,Premier Ladies,0.6666666666666666
7,Cheung Tsz Ching,Kowloon Cricket Club L1B,18.38,147,8,6,2,Premier Ladies,0.75
8,Cheng Nga Ching,Kowloon Cricket Club L1A,17.5,105,6,3,3,Premier Ladies,0.5
9,Chung Yee Ling Elaine,JESSICA L1,15.6,78,5,3,2,Premier Ladies,0.6
10,Leung Ka Huen,JESSICA L1,15.43,108,7,3,4,Premier Ladies,0.42857142857142855
11,Tong Tsz Wing,Kowloon Cricket Club L1B,15.43,108,7,1,6,Premier Ladies,0.14285714285714285
12,Wai Sze Wing,Hong Kong Cricket Club L1,12.38,99,8,1,7,Premier Ladies,0.125
13,Wong Po Sze Jessica,Hong Kong Cricket Club L1,9.6,48,5,1,4,Premier Ladies,0.2
,* Lee Ka Yi,JESSICA L1,24.75,99,4,3,1,Premier Ladies,0.75
,* Chan Sin Yuk,JESSICA L1,24.75,99,4,3,1,Premier Ladies,0.75
,Au Ling Yu,Kowloon Cricket Club L1A,19.5,39,2,2,0,Premier Ladies,1.0
,Lam Po Ying,Kowloon Cricket Club L1A,18.75,75,4,3,1,Premier Ladies,0.75
,Kwong Ena,Kowloon Cricket Club L1B,18.0,72,4,2,2,Premier Ladies,0.5
,Tang Ching Sum,Hong Kong Football Club L1,15.0,30,2,1,1,Premier Ladies,0.5
,Tam Cho Nga Mariko,Hong Kong Football Club L1,15.0,15,1,0,1,Premier Ladies,0.0
,Li Sum Yin,Kowloon Cricket Club L1B,13.5,27,2,1,1,Premier Ladies,0.5
,Lo Pui Yin Chloe,Hong Kong Cricket Club L1,13.0,39,3,1,2,Premier Ladies,0.3333333333333333
,Tang Ka Ki,Hong Kong Football Club L1,12.0,24,2,1,1,Premier Ladies,0.5
,Yu Hiu Ching Nicole,Hong Kong Cricket Club L1,12.0,12,1,0,1,Premier Ladies,0.0
,Cheng Pik Ching,Kowloon Cricket Club L1B,8.0,24,3,0,3,Premier Ladies,0.0
,Chiu Hau Ching,Hong Kong Football Club L1,7.5,15,2,0,2,Premier Ladies,0.0
,* Ng Elise Jia Yunn,JESSICA L1,6.0,6,1,0,1,Premier Ladies,0.0
,Au Shuk Ting,JESSICA L1,6.0,6,1,0,1,Premier Ladies,0.0
,Cassidy Makaela Lin,Hong Kong Football Club L1,6.0,6,1,0,1,Premier Ladies,0.0
