Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
1,Chiu Ho Fai,Hong Kong Cricket Club M1A,24.0,192,8,8,0,Premier Masters,1.0
2,Ward Andrew,Hong Kong Football Club M1B,23.18,255,11,9,2,Premier Masters,0.8181818181818182
3,Chiu Raymond Shung Hei,Hong Kong Cricket Club M1A,21.6,108,5,4,1,Premier Masters,0.8
4,Ho Eric Chu Him,Hong Kong Football Club M1A,20.62,165,8,4,4,Premier Masters,0.5
5,Soo Sean Tsung Jie,Hong Kong Football Club M1A,20.25,162,8,7,1,Premier Masters,0.875
6,Chiu Ho Ming,Hong Kong Football Club M1B,20.14,141,7,5,2,Premier Masters,0.7142857142857143
7,Anthony Nigel,Hong Kong Football Club M1B,19.2,96,5,4,1,Premier Masters,0.8
8,Schaefer Rishad,Hong Kong Football Club M1B,17.5,105,6,4,2,Premier Masters,0.6666666666666666
9,Lau Dick Siu Wai,Hong Kong Football Club M1A,17.5,105,6,2,4,Premier Masters,0.3333333333333333
10,Salahuddin,Hong Kong Cricket Club M1B,17.4,174,10,5,5,Premier Masters,0.5
11,Ekanayake Yeshan,Hong Kong Cricket Club M1A,14.4,72,5,1,4,Premier Masters,0.2
12,Leung Shiu Moon,Squashathon M+,13.91,153,11,1,10,Premier Masters,0.09090909090909091
13,Lam Yan Kiu,Squashathon M+,13.5,81,6,2,4,Premier Masters,0.3333333333333333
14,Gray Jonathan,Hong Kong Cricket Club M1A,12.43,87,7,3,4,Premier Masters,0.42857142857142855
15,West Steven,Hong Kong Cricket Club M1A,12.3,123,10,3,7,Premier Masters,0.3
16,Ng Tsz Chun,Squashathon M+,11.4,114,10,1,9,Premier Masters,0.1
17,Cheng Steven Wai Kit,Squashathon M+,9.0,54,6,1,5,Premier Masters,0.16666666666666666
,Khan Faheem,Hong Kong Cricket Club M1B,24.0,72,3,3,0,Premier Masters,1.0
,Kwong Anson Yu Shun,Hong Kong Cricket Club M1B,24.0,24,1,1,0,Premier Masters,1.0
,Tulloch Gillem,Hong Kong Football Club M1B,21.0,21,1,1,0,Premier Masters,1.0
,Yu Vincent Hok Yan,Hong Kong Football Club M1A,19.5,78,4,4,0,Premier Masters,1.0
,Pun Teddy,Hong Kong Football Club M1A,19.5,39,2,2,0,Premier Masters,1.0
,Hartley Alexander,Hong Kong Football Club M1A,18.0,72,4,3,1,Premier Masters,0.75
,Disler Simon William,Squashathon M+,18.0,36,2,2,0,Premier Masters,1.0
,Genever Peter John,Hong Kong Cricket Club M1B,18.0,72,4,1,3,Premier Masters,0.25
,Zhang James,Hong Kong Football Club M1A,17.25,69,4,3,1,Premier Masters,0.75
,Cranston Robert,Hong Kong Cricket Club M1B,17.0,51,3,2,1,Premier Masters,0.6666666666666666
,Wong Joe Wai Chung,Hong Kong Cricket Club M1B,16.5,66,4,1,3,Premier Masters,0.25
,Chou Pak Lam Wilson,Hong Kong Football Club M1B,16.0,48,3,2,1,Premier Masters,0.6666666666666666
,Reyes Diego,Hong Kong Football Club M1B,15.0,45,3,1,2,Premier Masters,0.3333333333333333
,Achouch Frank,Hong Kong Cricket Club M1B,8.0,24,3,0,3,Premier Masters,0.0
,da Silva Juan,Hong Kong Cricket Club M1B,7.5,15,2,0,2,Premier Masters,0.0
,Chui King Yat,Squashathon M+,6.0,6,1,0,1,Premier Masters,0.0
,Hill Peter,Hong Kong Cricket Club M1A,0.0,0,0,0,0,Premier Masters,0.0
,Ng Kai Yuen Gary,Squashathon M+,0.0,0,0,0,0,Premier Masters,0.0
,Li James King Hei,Squashathon M+,0.0,0,0,0,0,Premier Masters,0.0
,Leung Kwan Ching,Squashathon M+,0.0,0,0,0,0,Premier Masters,0.0
,Hibberd Christian,Hong Kong Football Club M1B,0.0,0,0,0,0,Premier Masters,0.0
,Chan Ying Lun,Squashathon M+,0.0,0,0,0,0,Premier Masters,0.0
