Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
1,Chow Pui Sing,Bravo D13,25.25,303,12,12,0,13C,1.0
2,Lee Nok Tin,JSA 1,25.12,201,8,8,0,13C,1.0
3,Lau Sai Kit Ethan,i-Mask Advance Squash Club 7,22.5,270,12,8,4,13C,0.6666666666666666
4,Ho Chun Yin,Smart Squash 2,21.9,219,10,9,1,13C,0.9
5,Wong Darren,JSA 1,21.0,105,5,4,1,13C,0.8
6,Yau Lucas Haoxiang,Vitality Squash 2,21.0,105,5,3,2,13C,0.6
7,Luk Argen,Vitality Squash 2,20.73,228,11,8,3,13C,0.7272727272727273
8,Chen Yat Kuen,NEXUS 3,20.5,123,6,6,0,13C,1.0
9,Tsoi Cheuk Hin Kieran,Vitality Squash 2,20.5,123,6,4,2,13C,0.6666666666666666
10,Ho Chun Lok,Smart Squash 2,20.4,204,10,6,4,13C,0.6
11,Tsang Chi Him,JSA 1,20.25,162,8,7,1,13C,0.875
12,Chum Dylan Dzongsar,HKIS Div 13,20.14,141,7,4,3,13C,0.5714285714285714
13,Li Siu Ting,Smart Squash 2,20.0,120,6,5,1,13C,0.8333333333333334
14,Chen Alexander Kelin,i-Mask Advance Squash Club 6,19.91,219,11,6,5,13C,0.5454545454545454
15,Lee Chun Yuen Aiden,NEXUS 3,19.8,99,5,3,2,13C,0.6
16,Yu Bella,i-Mask Advance Squash Club 6,19.0,171,9,8,1,13C,0.8888888888888888
17,Chum Daphne Gautam,HKIS Div 13,18.43,129,7,6,1,13C,0.8571428571428571
18,Pong Pak Him Matthias,HKIS Div 13,18.38,147,8,4,4,13C,0.5
19,Chen Zihao Jayden,i-Mask Advance Squash Club 6,18.0,90,5,3,2,13C,0.6
20,To Chun Yuen,Bravo D13,17.0,153,9,5,4,13C,0.5555555555555556
21,Yeung Hei Lo Keiko,Smart Squash 3,16.88,135,8,5,3,13C,0.625
22,Wong Wun Yin,NEXUS 3,16.8,84,5,2,3,13C,0.4
23,Au Pak Yin,i-Mask Advance Squash Club 6,16.62,216,13,7,6,13C,0.5384615384615384
24,Fok Yiu Wan,JSA 1,16.2,81,5,4,1,13C,0.8
25,Lam Tsz Wang,i-Mask Advance Squash Club 7,15.75,189,12,5,7,13C,0.4166666666666667
26,Sun Luke Tang,i-Mask Advance Squash Club 6,15.6,78,5,1,4,13C,0.2
27,Zhang Fei,Bravo D13,15.43,108,7,4,3,13C,0.5714285714285714
28,Hon Wai Lam,i-Mask Advance Squash Club 7,15.38,123,8,4,4,13C,0.5
29,Poon Yik Fan,i-Mask Advance Squash Club 7,15.0,135,9,6,3,13C,0.6666666666666666
30,Kam Zeon Hei,Smart Squash 2,15.0,75,5,3,2,13C,0.6
31,Chu Nathan Yian Zhe,i-Mask Advance Squash Club 6,14.7,147,10,9,1,13C,0.9
32,Zhang Ting Xuan,HKIS Div 13,14.57,102,7,5,2,13C,0.7142857142857143
33,Lam Kwong Hei,Smart Squash 3,14.57,102,7,1,6,13C,0.14285714285714285
34,Wong Tsz Long,NEXUS 3,14.5,87,6,4,2,13C,0.6666666666666666
35,Lau Sai Chak Elson,i-Mask Advance Squash Club 7,14.36,201,14,12,2,13C,0.8571428571428571
36,Wang Tristan Xiao Feng,HKIS Div 13,14.0,84,6,2,4,13C,0.3333333333333333
37,Sun Jacob Jia-Wei,Vitality Squash 2,13.88,111,8,4,4,13C,0.5
38,Han William Jialun,JSA 1,13.8,69,5,3,2,13C,0.6
39,Ko Jinhyo,HKIS Div 13,13.5,81,6,3,3,13C,0.5
40,Yuen Tsz Hin,Smart Squash 3,13.29,93,7,4,3,13C,0.5714285714285714
40,Lai Chak Hin,Smart Squash 2,13.29,93,7,4,3,13C,0.5714285714285714
42,Tsang Tze Nam,i-Mask Advance Squash Club 7,13.2,66,5,3,2,13C,0.6
43,Lin Hei Chi Amber,i-Mask Advance Squash Club 6,13.0,78,6,4,2,13C,0.6666666666666666
44,Cheng King Leung,Vitality Squash 2,13.0,78,6,3,3,13C,0.5
45,Kwong Tsz Hang,Smart Squash 3,12.86,90,7,3,4,13C,0.42857142857142855
46,Chan Cedric,Smart Squash 3,12.38,99,8,1,7,13C,0.125
47,Lam Tsz Ching,Bravo D13,12.0,96,8,6,2,13C,0.75
48,Chiu Ho Yin,Smart Squash 3,12.0,60,5,4,1,13C,0.8
49,Yoo Soo Min,Vitality Squash 2,11.7,117,10,5,5,13C,0.5
50,Tam Ki Fung,Smart Squash 3,11.25,90,8,3,5,13C,0.375
51,Cheng Chung Yan,Smart Squash 2,11.0,66,6,2,4,13C,0.3333333333333333
52,Lin Jia Li,Bravo D13,10.67,96,9,3,6,13C,0.3333333333333333
53,Wu Mark Zi Yang,Smart Squash 2,10.2,51,5,3,2,13C,0.6
53,Tan Tianle,i-Mask Advance Squash Club 6,10.2,51,5,3,2,13C,0.6
55,Guo Wan Ling,Bravo D13,9.86,69,7,3,4,13C,0.42857142857142855
56,Yeung Ka Hei Kason,Smart Squash 3,9.5,57,6,3,3,13C,0.5
57,To Lut Ting,JSA 1,9.43,66,7,3,4,13C,0.42857142857142855
58,Ng Ho Fung Arthur,i-Mask Advance Squash Club 7,9.43,66,7,2,5,13C,0.2857142857142857
59,Lin Elizabeth,HKIS Div 13,8.77,114,13,5,8,13C,0.38461538461538464
,Yip Griffin Hongsun,NEXUS 3,27.0,54,2,2,0,13C,1.0
,Chen Mickey Youlin,Vitality Squash 2,27.0,27,1,1,0,13C,1.0
,Li Zoe,HKIS Div 13,24.0,72,3,3,0,13C,1.0
,Lai Ming Wai Anna,NEXUS 3,24.0,24,1,1,0,13C,1.0
,Bei Chi Ting,JSA 1,22.5,90,4,3,1,13C,0.75
,Xie Yu Hin,NEXUS 3,21.0,21,1,1,0,13C,1.0
,Yuen Tsz Tang,NEXUS 3,19.5,39,2,1,1,13C,0.5
,Verma Tara,HKIS Div 13,18.0,18,1,1,0,13C,1.0
,Jain Ankur,Vitality Squash 2,18.0,18,1,1,0,13C,1.0
,Kang Sen Yu,Bravo D13,18.0,36,2,1,1,13C,0.5
,Chiu Tsz Yu,JSA 1,18.0,18,1,1,0,13C,1.0
,Lam Tsz Ching,i-Mask Advance Squash Club 7,18.0,18,1,1,0,13C,1.0
,Wong Hiu Ching,NEXUS 3,16.5,33,2,2,0,13C,1.0
,Man Yu Ching,Smart Squash 3,15.0,60,4,2,2,13C,0.5
,Tan Xin,i-Mask Advance Squash Club 6,15.0,45,3,2,1,13C,0.6666666666666666
,Yu Hoi Yi,NEXUS 3,15.0,15,1,1,0,13C,1.0
,Leekha Reyansh,HKIS Div 13,15.0,15,1,1,0,13C,1.0
,Lee Julia,HKIS Div 13,15.0,15,1,1,0,13C,1.0
,Jain Advik,Vitality Squash 2,15.0,15,1,1,0,13C,1.0
,Yu Chung Wo,NEXUS 3,15.0,15,1,1,0,13C,1.0
,Chen Marshall Youpeng,Vitality Squash 2,15.0,15,1,1,0,13C,1.0
,Xie Ho Yu,NEXUS 3,13.5,27,2,1,1,13C,0.5
,Cheng Chung Yin,Smart Squash 2,12.0,48,4,3,1,13C,0.75
,Kam Wo Wan,Smart Squash 2,12.0,36,3,2,1,13C,0.6666666666666666
,Cheung Aiden hayden,JSA 1,12.0,24,2,1,1,13C,0.5
,Au Hoi Yau,i-Mask Advance Squash Club 7,11.25,45,4,3,1,13C,0.75
,Li Hiu Ching,Smart Squash 2,11.25,45,4,3,1,13C,0.75
,Liu Cheuk Wang,Smart Squash 2,10.5,42,4,1,3,13C,0.25
,Wong Jace,JSA 1,9.0,9,1,0,1,13C,0.0
,Jin Olivia,JSA 1,9.0,9,1,0,1,13C,0.0
,Wan Shing Yau,Smart Squash 3,6.0,18,3,1,2,13C,0.3333333333333333
,Tam Ka Yu,i-Mask Advance Squash Club 7,6.0,6,1,0,1,13C,0.0
,Lin Hei Wo Howard,i-Mask Advance Squash Club 6,5.0,15,3,1,2,13C,0.3333333333333333
,Lee Winston Kim Wa,i-Mask Advance Squash Club 7,0.0,0,0,0,0,13C,0.0
,Zhang Ting Ze,HKIS Div 13,0.0,0,0,0,0,13C,0.0
,Chan Yik Hei,Vitality Squash 2,0.0,0,0,0,0,13C,0.0
,Wong Corwin,Smart Squash 3,0.0,0,0,0,0,13C,0.0
,Kan Yi Ling,Smart Squash 2,0.0,0,0,0,0,13C,0.0
