Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
1,Poole-Wilson Michael,Hong Kong Cricket Club M4,22.5,135,6,4,2,M4,0.6666666666666666
2,Mong Hoi Ching Norman,SKCSC M4,21.43,150,7,5,2,M4,0.7142857142857143
3,Choy Yuk Kwong Donnie,Kowloon Cricket Club M4,20.4,102,5,5,0,M4,1.0
4,Chow Kar Wah,Hong Kong Football Club M4A,19.8,99,5,3,2,M4,0.6
5,Dansanghani Rahul,Hong Kong Football Club M4B,19.2,96,5,4,1,M4,0.8
6,Mok Sui Kei,WAKO,18.43,129,7,7,0,M4,1.0
7,Lai Kwok Wai Wilfred,United Services Recreation Club M4,18.43,129,7,2,5,M4,0.2857142857142857
8,Bernard Edwin,Hong Kong Cricket Club M4,17.57,123,7,4,3,M4,0.5714285714285714
9,Lai Tsz Pang,WAKO,17.4,87,5,4,1,M4,0.8
10,Tse Ray,Royal Hong Kong Yacht Club M4,16.8,84,5,2,3,M4,0.4
10,Chan Dave Chi Keung,Hong Kong Football Club M4B,16.8,84,5,2,3,M4,0.4
12,Wright Martin,Bolton,16.2,81,5,2,3,M4,0.4
13,Leung Chi Wang Christopher,Royal Hong Kong Yacht Club M4,16.2,81,5,1,4,M4,0.2
14,Yiu Sai Ngoi,WAKO,16.0,96,6,3,3,M4,0.5
15,Murray David,Hong Kong Football Club M4A,15.6,78,5,4,1,M4,0.8
15,Yam Ken Luen Kai,United Services Recreation Club M4,15.6,78,5,4,1,M4,0.8
17,Leung Michael Yan Por,SKCSC M4,15.0,75,5,2,3,M4,0.4
18,Chui Danny Kam Wah,WAKO,14.4,72,5,4,1,M4,0.8
19,McLennan Justin,Hong Kong Club Blue,11.4,57,5,2,3,M4,0.4
20,Gollop Stephen,Bolton,10.8,54,5,1,4,M4,0.2
21,Chu Lap Sun,United Services Recreation Club M4,10.5,63,6,1,5,M4,0.16666666666666666
22,Yu Chi Keung,United Services Recreation Club M4,10.29,72,7,1,6,M4,0.14285714285714285
23,Oei Chuen Shek Joseph,Royal Hong Kong Yacht Club M4,10.2,51,5,2,3,M4,0.4
24,Chan Kin Hung Kit,SKCSC M4,10.0,60,6,1,5,M4,0.16666666666666666
25,Tsang Wai Kit Paul,Kowloon Cricket Club M4,6.0,36,6,2,4,M4,0.3333333333333333
,Kan Ken Chun Kit,SKCSC M4,27.0,54,2,2,0,M4,1.0
,Au Siu Fai,Hong Kong Football Club M4A,26.25,105,4,4,0,M4,1.0
,Li Wilson Wai Shun,Bolton,25.0,75,3,3,0,M4,1.0
,Lin Chun Wah,WAKO,24.75,99,4,3,1,M4,0.75
,Hathiramani Sahil Ajit,Hong Kong Football Club M4B,24.0,48,2,2,0,M4,1.0
,Wong Hin Chor,United Services Recreation Club M4,24.0,24,1,1,0,M4,1.0
,Ford Anthony,Hong Kong Football Club M4A,22.5,90,4,4,0,M4,1.0
,Kirpalani Arun,Hong Kong Football Club M4B,22.0,66,3,3,0,M4,1.0
,Dalpathraj Sheethal Kumar,Hong Kong Cricket Club M4,21.0,42,2,2,0,M4,1.0
,Choi Kenny Wing Kin,SKCSC M4,21.0,21,1,1,0,M4,1.0
,Detaramani Sunil,Kowloon Cricket Club M4,19.5,78,4,3,1,M4,0.75
,Erro Davide,Hong Kong Club Blue,18.0,36,2,2,0,M4,1.0
,Teng Fredric,Hong Kong Club Blue,18.0,36,2,2,0,M4,1.0
,Cox Simon,Hong Kong Club Blue,18.0,18,1,0,1,M4,0.0
,Kundamal Dhiraj,Kowloon Cricket Club M4,17.25,69,4,2,2,M4,0.5
,Bachani Vinay Suresh,Kowloon Cricket Club M4,17.25,69,4,2,2,M4,0.5
,Brien Peter Wilhelm Hubert,Hong Kong Club Blue,16.5,66,4,1,3,M4,0.25
,Rundle David Christopher,Hong Kong Football Club M4B,16.5,33,2,1,1,M4,0.5
,Dickson Robert,Hong Kong Cricket Club M4,16.5,33,2,1,1,M4,0.5
,Wong Rames Wang Lung,United Services Recreation Club M4,16.0,48,3,3,0,M4,1.0
,Samtani Rakesh,Kowloon Cricket Club M4,15.0,60,4,3,1,M4,0.75
,Gaffney Noel Patrick,WAKO,15.0,45,3,3,0,M4,1.0
,Tam Rony Kwok Ki,SKCSC M4,15.0,45,3,3,0,M4,1.0
,Chan Christine Yik Tat,Hong Kong Football Club M4A,15.0,45,3,2,1,M4,0.6666666666666666
,Etherington David,Hong Kong Football Club M4B,15.0,45,3,2,1,M4,0.6666666666666666
,Hinchcliffe Robert Bruce,Hong Kong Club Blue,15.0,30,2,2,0,M4,1.0
,Chan George Yee Lee,Hong Kong Football Club M4A,15.0,15,1,1,0,M4,1.0
,Kwan Kay Ho Kelvin,Hong Kong Football Club M4B,15.0,15,1,1,0,M4,1.0
,Openshaw Michael,Hong Kong Cricket Club M4,15.0,15,1,1,0,M4,1.0
,Debnam Nicholas James,Hong Kong Club Blue,15.0,15,1,1,0,M4,1.0
,Bradbury Adrian,Hong Kong Cricket Club M4,14.25,57,4,3,1,M4,0.75
,Chui King Yat,SKCSC M4,14.25,57,4,3,1,M4,0.75
,Brettell David,Kowloon Cricket Club M4,14.0,42,3,2,1,M4,0.6666666666666666
,Blackburn Timothy Joseph,Hong Kong Club Blue,14.0,42,3,2,1,M4,0.6666666666666666
,Otero Somoza Juan Angel,Hong Kong Football Club M4A,13.5,27,2,1,1,M4,0.5
