Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
1,Lau Tsz Kwan,Hong Kong Football Club 1A,27.0,135,5,5,0,Premier Main,1.0
2,Wong Chi Him,Hong Kong Cricket Club D1,24.6,123,5,4,1,Premier Main,0.8
3,Chung Yat Long,Hong Kong Football Club 1B,22.2,111,5,4,1,Premier Main,0.8
4,Lam Harley Yat Ting,Hong Kong Cricket Club D1,21.0,147,7,6,1,Premier Main,0.8571428571428571
5,Wong Long Hin Larry,FWD,16.5,99,6,4,2,Premier Main,0.6666666666666666
6,Ling To Yu,Hong Kong Football Club 1A,16.29,114,7,3,4,Premier Main,0.42857142857142855
7,Man Tsz Wing,Kowloon Cricket Club 1B,15.5,93,6,3,3,Premier Main,0.5
8,Mak Tsun Hei,FWD,15.43,108,7,2,5,Premier Main,0.2857142857142857
9,Tam Tommy Tsz Shing,Kowloon Cricket Club 1B,15.0,105,7,1,6,Premier Main,0.14285714285714285
,Tang Ming Hong,Kowloon Cricket Club 1A,25.0,75,3,3,0,Premier Main,1.0
,Leung Henry Chi Hin,Hong Kong Football Club 1B,22.5,90,4,3,1,Premier Main,0.75
,To Wai Lok,Hong Kong Cricket Club D1,21.0,21,1,1,0,Premier Main,1.0
,Gates Stuart,Hong Kong Football Club 1B,21.0,21,1,1,0,Premier Main,1.0
,Lai Matthew Cheuk Nam,Kowloon Cricket Club 1A,20.25,81,4,3,1,Premier Main,0.75
,Lam Matthew Shing Fung,Kowloon Cricket Club 1A,19.5,78,4,3,1,Premier Main,0.75
,Lee Max Ho Yin,Hong Kong Football Club 1A,19.5,39,2,2,0,Premier Main,1.0
,Yip Tsz Fung,Hong Kong Football Club 1B,18.75,75,4,3,1,Premier Main,0.75
,Ho Samuel Ka Hei,FWD,18.0,72,4,2,2,Premier Main,0.5
,Chan Russell Chi Ho,FWD,18.0,18,1,1,0,Premier Main,1.0
,Chan Linclon Wui Ki,Kowloon Cricket Club 1A,17.0,51,3,2,1,Premier Main,0.6666666666666666
,Wong Wing Kuen,Kowloon Cricket Club 1A,16.5,33,2,1,1,Premier Main,0.5
,Law Yat Long,Kowloon Cricket Club 1A,16.0,48,3,2,1,Premier Main,0.6666666666666666
,Yuen Tsun Hei,Kowloon Cricket Club 1A,15.0,15,1,0,1,Premier Main,0.0
,Ohri Ashray,Hong Kong Football Club 1A,14.0,42,3,1,2,Premier Main,0.3333333333333333
,Lai Long Ching,Hong Kong Football Club 1B,13.5,27,2,0,2,Premier Main,0.0
,Chiu Ho Fai,Hong Kong Cricket Club D1,12.0,36,3,1,2,Premier Main,0.3333333333333333
,Au Lap Man Rex,Kowloon Cricket Club 1B,12.0,24,2,0,2,Premier Main,0.0
,Low Mark Chun Kit,Hong Kong Football Club 1A,11.0,33,3,1,2,Premier Main,0.3333333333333333
,Wong Anson,Hong Kong Football Club 1B,9.75,39,4,1,3,Premier Main,0.25
,Ho Eric Chu Him,Hong Kong Football Club 1A,9.0,9,1,0,1,Premier Main,0.0
,Ho Ka On,Kowloon Cricket Club 1A,9.0,9,1,0,1,Premier Main,0.0
,Yip Tsz Ho,Kowloon Cricket Club 1B,9.0,9,1,0,1,Premier Main,0.0
,Cheng Ting To Brogan,Hong Kong Football Club 1B,9.0,9,1,0,1,Premier Main,0.0
,Khan Faheem,Hong Kong Cricket Club D1,8.25,33,4,0,4,Premier Main,0.0
,Wong King Yeung,Kowloon Cricket Club 1B,6.0,6,1,0,1,Premier Main,0.0
,Sheethal Kumar Palash,Hong Kong Cricket Club D1,6.0,6,1,0,1,Premier Main,0.0
,Wong Joe Wai Chung,FWD,6.0,18,3,0,3,Premier Main,0.0
,Cheung Ka Yau,FWD,0.0,0,0,0,0,Premier Main,0.0
