Order,Player,HKS No.,Ranking,Points,Team
1,Lo Sing Chi,28563,0,18.0,Friend Club 4
2,Wong Yu,32644,0,14.0,Friend Club 4
3,Po Long Huen Mavis,33373,40,10.5,Friend Club 4
4,Li Tsz Ho,33268,19,16.29,Friend Club 4
5,Cheung Tsz Long,33830,32,12.67,Friend Club 4
6,Chan King Hei,33822,37,11.6,Friend Club 4
7,Wong Yan Lam,33601,49,7.5,Friend Club 4
8,Tang Sze Wai,33449,44,8.62,Friend Club 4
9,Lee Jan Yao,33829,0,1.5,Friend Club 4
10,Cheung Hei Yu,34082,53,6.0,Friend Club 4
11,Wong Sum Yu,33741,51,6.0,Friend Club 4
1,Chan Hiu Wai,32002,33,12.43,i-Mask Advance Squash Club 4
2,Lee Kit Ying,32725,36,12.0,i-Mask Advance Squash Club 4
3,So Wan Kiu,31819,29,13.0,i-Mask Advance Squash Club 4
4,Au Sin Man,32112,48,8.0,i-Mask Advance Squash Club 4
5,Tam Hong Kiu,32196,47,8.18,i-Mask Advance Squash Club 4
6,Law Cherie,32852,43,8.67,i-Mask Advance Squash Club 4
7,Leung Cheuk Lam,32679,46,8.4,i-Mask Advance Squash Club 4
8,Wong Minnie,32036,0,5.0,i-Mask Advance Squash Club 4
1,Au Pak Ki,33260,14,18.27,JAVA
2,Au Pak Lun,33259,0,15.75,JAVA
3,Dong Li Ang,33166,30,12.9,JAVA
4,Zhang Nika,32862,0,4.5,JAVA
5,Dong Bo Ang,33663,35,12.0,JAVA
6,Su Chi To,33167,0,9.0,JAVA
7,Tsang Chun Fung,32105,0,5.25,JAVA
8,Wong Yiu Yeung,32716,0,9.0,JAVA
1,* Tse Long Hin,31630,7,22.0,Physical Chess 3
2,* Lee Darren Ching Him,27616,2,23.7,Physical Chess 3
3,* Li Bing Hei,27850,16,17.4,Physical Chess 3
4,Wong Siu Sun,32736,20,15.9,Physical Chess 3
5,Mok Ivan Tsz Pui,29744,26,14.67,Physical Chess 3
6,Dai Kwun San Harry,29167,22,15.67,Physical Chess 3
7,Leung Sek Ho Kelvin,30926,38,11.0,Physical Chess 3
8,Chan Tsz Chung,33656,41,10.12,Physical Chess 3
9,Wong Wai Lap,33402,21,15.86,Physical Chess 3
10,Hui Fu Wing Edwin,33134,25,14.7,Physical Chess 3
1,Wong Chak Sum Ocean,33018,5,22.2,Smart Squash 1
2,Chung Ho Yin Will,32853,10,20.08,Smart Squash 1
3,Feng Weitao,32720,9,20.62,Smart Squash 1
4,Yau Yeung,33032,39,10.8,Smart Squash 1
5,Ng Kin Chun,31997,0,0.0,Smart Squash 1
6,Chan Yan Yu,33270,34,12.0,Smart Squash 1
7,Chan Ming Yan,33033,24,15.0,Smart Squash 1
8,Chok Wai Hin,32712,0,0.0,Smart Squash 1
9,Chim Tung Ni,32566,0,0.0,Smart Squash 1
10,Chow Yuen Ching,33782,42,9.0,Smart Squash 1
11,Fu Sai Hei,33889,51,6.0,Smart Squash 1
1,Yu Fung,27292,0,19.5,TNG 1
2,Wong Ho Kiu,33161,1,26.14,TNG 1
3,Cheung Pak Hin Milo,33359,18,16.29,TNG 1
4,Wu Shun Kei,33310,11,19.8,TNG 1
5,Ko Suet Icy,32871,17,16.8,TNG 1
6,Chiu Hau Ching,33483,13,18.86,TNG 1
7,Tang Ching Sum,33280,0,16.0,TNG 1
8,Hung Tak Ching,33244,27,14.45,TNG 1
9,Chan Hoi Hei,33185,23,15.55,TNG 1
10,Chung King Long Jacqueline,33463,45,8.5,TNG 1
1,Li Hau Ching,33240,4,22.5,YLJR 2
2,Wong Yat Him,33170,3,23.67,YLJR 2
3,Chan Man Fung,33599,6,22.12,YLJR 2
4,Lip Tsz Ho,32848,8,21.0,YLJR 2
5,Lam Yuen Sarm,33499,12,19.0,YLJR 2
6,Cheng Tsz Hei,33163,28,13.33,YLJR 2
7,Mak Wai Fung,33451,15,18.0,YLJR 2
8,Eze Chike Jayden,33413,31,12.67,YLJR 2
9,Man Kiu Yan,33309,50,6.86,YLJR 2
