Order,Player,HKS No.,Ranking,Points,Team
2,Chau Suet Ying,30930,18,16.0,Friend Club 6
3,Li Yuen Yau,31323,17,16.06,Friend Club 6
4,Tong Grace Hing Ping,31173,36,10.12,Friend Club 6
5,Tong Chui Yuk,31721,37,9.8,Friend Club 6
6,Yu Wing Yi,31322,46,5.25,Friend Club 6
7,Chan King Wa Kenneth,24260,47,4.8,Friend Club 6
2,Tse Yuet Tung,30617,25,12.75,i-MASK Advance Squash Club 9
3,Wong Kin Tung,28926,26,12.71,i-MASK Advance Squash Club 9
4,Leung Kuk Lam,30461,27,12.43,i-MASK Advance Squash Club 9
5,Leung Cheuk Yan,30801,35,10.2,i-MASK Advance Squash Club 9
6,Cheng Kathy Ka Wai,29962,42,7.4,i-MASK Advance Squash Club 9
1,Lee Wallace Tsz Chiu,28846,5,21.18,Kinetic 4
2,Shea Chi Hang,29999,15,16.62,Kinetic 4
3,Wong Wang Lok,30775,21,14.57,Kinetic 4
4,Lam Dennis Wun Cheung,23911,22,14.44,Kinetic 4
5,Lam Eric Wai Chung,29635,33,10.8,Kinetic 4
6,Chan Kwok Keung George,20183,0,0.0,Kinetic 4
7,Yeung Wing Hung,32210,45,6.38,Kinetic 4
8,Lai Hau Ying,30193,44,7.0,Kinetic 4
9,Ho Cheuk Chi Jessie,30903,0,12.0,Kinetic 4
1,Tsang King Nam,31077,6,21.0,Phresh 3
2,Weng Yi Kong,31593,11,19.31,Phresh 3
3,Wu Vincent Ka Sing,3345,38,9.43,Phresh 3
4,Kwong Sze Ka,31430,24,13.0,Phresh 3
5,Cheung Ho Yan,31628,31,11.0,Phresh 3
6,Weng Yi Ching,31594,30,11.62,Phresh 3
1,Choi Derek Yung To,29918,0,21.0,Police 2
2,Tam Chiu Wai,28782,12,19.0,Police 2
3,Chan Ringo Wai Kwong,29040,20,15.0,Police 2
4,Siu William Chak Man,26273,28,12.23,Police 2
5,Leung Man Wah,26498,34,10.25,Police 2
6,Kong Bryan Yiu Kai,23231,32,11.0,Police 2
7,Yuen Albert Wai Cheong,25539,0,0.0,Police 2
8,Chan Po Sing,7420,43,7.09,Police 2
9,Mak Derek Kam Yuen,7883,48,4.62,Police 2
10,Yuen Shuk Ting,26491,0,10.5,Police 2
11,Leung Leon Bing Fu,6033,49,3.0,Police 2
1,Ho Hon Sum,31021,1,25.0,Yuen Long Jr 2
2,Lam Po Ying,31022,3,22.15,Yuen Long Jr 2
3,Lau Wan Hei Ellis,30831,2,22.93,Yuen Long Jr 2
4,Choi Tsz Yiu,30426,10,19.5,Yuen Long Jr 2
5,Cheng Ka Kiu Kary,30832,16,16.38,Yuen Long Jr 2
6,Lau Hoi Shun,31524,23,13.8,Yuen Long Jr 2
6,Man Tsz Wing,31426,41,8.25,Yuen Long Jr 2
1,Lo Fai Tuen Jack,31548,9,20.33,The Zero Squash Club 3
2,Kwan Michael Siu Ming,27902,4,21.3,The Zero Squash Club 3
3,Ng Tsz Chun,31310,7,21.0,The Zero Squash Club 3
4,Wong Ho Sang,30360,13,17.33,The Zero Squash Club 3
5,Chan Kwok Leung,30699,8,20.4,The Zero Squash Club 3
6,Leung Sum Nam,30343,14,17.0,The Zero Squash Club 3
7,Lo Hiu Fung Gilbert,30450,19,15.67,The Zero Squash Club 3
8,Yeung Ka Chun,32117,0,13.5,The Zero Squash Club 3
9,Lee Frankie Chi Ming,28027,29,12.0,The Zero Squash Club 3
10,Leung Hok Sum,31309,39,9.0,The Zero Squash Club 3
11,Chan Chun Man,32118,39,9.0,The Zero Squash Club 3
