Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
1,Au Leo Chun Ming,Perrier KCC 1,25.8,129,5,5,0,1,1.0
2,^ Lee Max Ho Yin,Food Angel,22.29,156,7,5,2,1,0.7142857142857143
3,Lo Chris Cheuk Hin,Perrier KCC 1,21.43,150,7,4,3,1,0.5714285714285714
4,Yip Tsz Fung,Young Player 1,21.0,189,9,6,3,1,0.6666666666666666
5,Leung Henry Chi Hin,Young Player 3,20.62,165,8,6,2,1,0.75
6,Wong Chi Him,Young Player 2,20.0,180,9,5,4,1,0.5555555555555556
7,Yuen Tsun Hei,Young Player 1,19.12,153,8,4,4,1,0.5
8,Lai Matthew Cheuk Nam,Food Angel,17.4,174,10,6,4,1,0.6
9,Huang James,Young Player 3,17.4,174,10,4,6,1,0.4
10,Kwong Anson Yu Shun,Young Player 1,17.33,156,9,6,3,1,0.6666666666666666
11,Lau Tsz Kwan,Young Player 2,16.29,114,7,4,3,1,0.5714285714285714
12,Au Annie Wing Chi,Perrier KCC 1,15.43,108,7,2,5,1,0.2857142857142857
13,Wong Hon Fung,Young Player 2,15.27,168,11,6,5,1,0.5454545454545454
14,Tang Ming Hong,Food Angel,15.0,135,9,4,5,1,0.4444444444444444
,Yeung Ho Wai,Perrier KCC 1,21.0,84,4,3,1,1,0.75
,Ngan Roger Lun Cheung,Young Player 3,21.0,21,1,1,0,1,1.0
,Wong Wai Hang,Young Player 2,21.0,21,1,1,0,1,1.0
,Ho Samuel Ka Hei,Young Player 3,18.75,75,4,3,1,1,0.75
,Khan Faheem,Food Angel,18.0,36,2,2,0,1,1.0
,Chan Cheuk Fung,Young Player 2,18.0,18,1,1,0,1,1.0
,Fung Ivan Ngo Long,Perrier KCC 1,16.5,33,2,1,1,1,0.5
,Ma Tsz Hei,Young Player 3,16.0,48,3,1,2,1,0.3333333333333333
,Lam Harley Yat Ting,Young Player 2,15.75,63,4,2,2,1,0.5
,Wong King Yeung,Young Player 2,15.0,30,2,1,1,1,0.5
,Chan Russell Chi Ho,Food Angel,15.0,30,2,1,1,1,0.5
,Chan Linclon Wui Ki,Food Angel,13.0,39,3,1,2,1,0.3333333333333333
,Ho Tze Ho Hugo,Perrier KCC 1,12.0,24,2,1,1,1,0.5
,Cheng Ho Hong,Young Player 1,12.0,12,1,0,1,1,0.0
,Cheng Hao-Chen,Young Player 3,11.25,45,4,1,3,1,0.25
,Chung Yat Long,Food Angel,9.0,9,1,0,1,1,0.0
,Au Lap Man Rex,Young Player 1,9.0,18,2,0,2,1,0.0
,Chan Joey Ho Ling,Young Player 1,8.25,33,4,0,4,1,0.0
,Chu Kenny King Chun,Perrier KCC 1,7.5,15,2,0,2,1,0.0
,Law Harry,Young Player 1,7.5,15,2,0,2,1,0.0
,Wong Ho Chung,Young Player 3,7.0,21,3,0,3,1,0.0
,To Wai Lok,Food Angel,6.0,6,1,0,1,1,0.0
,Wong Arthur Man Pok,Young Player 2,0.0,0,0,0,0,1,
