Order,Player,HKS No.,Ranking,Points,Team
1,Chan Kun Kei,30008,2,22.5,Friend Club 5
2,Yung Siu Yung,29901,28,15.0,Friend Club 5
3,Cheung Sum Ki,29739,45,11.25,Friend Club 5
4,Yung Siu Lam,29902,54,9.83,Friend Club 5
5,Wong Yuen Kiu,31681,0,0.0,Friend Club 5
5,Ng Lok Yan,29586,67,4.76,Friend Club 5
1,Huw Corcoran,32904,0,0.0,Hong Kong Football Club 10A
2,Toth Alexandra,32905,5,21.0,Hong Kong Football Club 10A
3,Mulchand Rajesh,30396,20,16.24,Hong Kong Football Club 10A
4,Yu Hiu Yan Vanessa,27097,15,17.45,Hong Kong Football Club 10A
5,Harjani Vinod,29649,33,14.36,Hong Kong Football Club 10A
6,Wu Edward,29508,37,13.71,Hong Kong Football Club 10A
7,Dansanghani Rahul,32906,57,9.4,Hong Kong Football Club 10A
8,Thind Harry,32521,72,2.57,Hong Kong Football Club 10A
9,Organ Nick,31510,66,4.8,Hong Kong Football Club 10A
10,Roberts Neil,27552,0,0.0,Hong Kong Football Club 10A
11,Jones Robert Paul,30959,0,0.0,Hong Kong Football Club 10A
12,Thompson Dean,32220,0,0.0,Hong Kong Football Club 10A
1,Rafee Azhar,30546,10,18.9,Hong Kong Football Club 10B
2,Yeung Himmy Cheuk Him,30409,11,18.88,Hong Kong Football Club 10B
3,Maloy Arthur,32202,14,18.0,Hong Kong Football Club 10B
4,Rinaldi Michael,32059,43,12.0,Hong Kong Football Club 10B
5,Chan George Yee Lee,25063,0,0.0,Hong Kong Football Club 10B
6,Gollop Stephen,26674,62,7.12,Hong Kong Football Club 10B
7,Chew Fook Aun,25201,36,13.8,Hong Kong Football Club 10B
8,Tsang Michael,27529,56,9.5,Hong Kong Football Club 10B
9,Keenan Thomas,24897,53,10.0,Hong Kong Football Club 10B
10,Wong Arthur Chi Yuen,23873,55,9.75,Hong Kong Football Club 10B
1,Mak Ka Lam,25245,4,21.33,Head Shatin 3
2,Cheung Ringo Hon Lam,30560,9,19.5,Head Shatin 3
3,Ma Chung Kit,20903,29,14.81,Head Shatin 3
4,Chan Michael Ka Ki,25330,17,17.06,Head Shatin 3
5,Chan Yin Fung,24029,27,15.0,Head Shatin 3
6,Lee Davies Man Yuen,19899,0,9.0,Head Shatin 3
1,Strongman Jon David,32637,8,19.59,ISRC United 2
2,Heritage Jonathan Paul,32639,34,14.2,ISRC United 2
3,Fraser William,32638,46,11.25,ISRC United 2
4,Ng Alan Chi Fung,32801,58,9.25,ISRC United 2
5,Demarais Samuel Pascal Alexandre,32802,0,3.0,ISRC United 2
6,Wright Stephen Anthony Joseph,32640,68,4.71,ISRC United 2
7,Adjemian Nicolas,32347,70,3.5,ISRC United 2
8,Chaudhary Kanush,32800,69,3.6,ISRC United 2
9,Amsellem Oren,31203,73,2.4,ISRC United 2
1,Denham Paul,27525,13,18.21,Royal Hong Kong Yacht Club 10
2,Allen Lance,28986,25,15.75,Royal Hong Kong Yacht Club 10
3,Lau John,25495,19,16.64,Royal Hong Kong Yacht Club 10
4,Ho Andy Chung Man,25396,0,16.5,Royal Hong Kong Yacht Club 10
5,Holman Sander,30244,0,0.0,Royal Hong Kong Yacht Club 10
6,Von Poelnitz Maximilian,30349,32,14.5,Royal Hong Kong Yacht Club 10
7,Bergqvist Erik,32237,59,9.0,Royal Hong Kong Yacht Club 10
8,McAuslan Gary,25353,49,10.75,Royal Hong Kong Yacht Club 10
9,Sullivan Andrew,26976,61,8.14,Royal Hong Kong Yacht Club 10
10,Longuepee Francis,27002,71,3.5,Royal Hong Kong Yacht Club 10
11,Tse Ray,28736,63,6.0,Royal Hong Kong Yacht Club 10
12,Levy Andrew,32924,0,6.0,Royal Hong Kong Yacht Club 10
1,Yuen Chi Ho Lawson,26601,1,24.4,The Hong Kong Jockey Club
2,Lee Dennis Yuk Kai,27426,7,19.69,The Hong Kong Jockey Club
3,Wong John Ying Man,20638,16,17.1,The Hong Kong Jockey Club
4,Hsu Marvin,22729,31,14.5,The Hong Kong Jockey Club
5,Lam King Tak Douglas,27092,18,16.8,The Hong Kong Jockey Club
6,Tong Franco Sui Lun,23088,50,10.5,The Hong Kong Jockey Club
7,Woo Heng Che Stephen,29998,42,12.3,The Hong Kong Jockey Club
8,Chiu Duncan,28108,0,0.0,The Hong Kong Jockey Club
9,Tien Calvin,27366,0,0.0,The Hong Kong Jockey Club
10,Ip Kenny Lau Chuen,8731,48,11.1,The Hong Kong Jockey Club
11,Robinson Douglas,30469,0,9.0,The Hong Kong Jockey Club
12,Tyen Cedric Kwong Hui,4194,0,7.5,The Hong Kong Jockey Club
1,Choi Yin Kwan,29406,3,21.94,The Zero Squash Club 2
2,Yip Sai Fu,31547,38,13.71,The Zero Squash Club 2
3,Tam Ji Jun,30009,23,15.88,The Zero Squash Club 2
4,Kwan Michael Siu Ming,27902,22,15.92,The Zero Squash Club 2
5,Chan Ting Fung,28214,35,14.08,The Zero Squash Club 2
6,Ng Terry Ka Ming,28773,44,12.0,The Zero Squash Club 2
7,Chan Muk Kan,15418,39,12.67,The Zero Squash Club 2
1,Ma Charles Chun Fung,21985,24,15.8,Tuen Mun Squash Club 1
2,Ma Chun Wah,30385,26,15.69,Tuen Mun Squash Club 1
