Order,Player,HKS No.,Ranking,Points,Team
1,Froidevaux Elliot,29237,2,23.62,American Club - Yacht Club
2,Achouch Frank,29549,9,18.6,American Club - Yacht Club
3,Lau Brian,29597,23,15.0,American Club - Yacht Club
4,Bousser Timothee,26827,0,0.0,American Club - Yacht Club
5,Denham Paul,27525,17,17.44,American Club - Yacht Club
6,Spaan Rudolf,27337,37,11.77,American Club - Yacht Club
7,Dubois Francois,30149,48,9.0,American Club - Yacht Club
9,Chan George Yee Lee,25063,0,0.0,American Club - Yacht Club
10,Allen Lance,28986,41,10.8,American Club - Yacht Club
11,Lau John,25495,47,9.23,American Club - Yacht Club
12,Ho Andy Chung Man,25396,50,8.4,American Club - Yacht Club
13,Ho Stephen,25235,0,0.0,American Club - Yacht Club
1,Van Leempoel Marc,32238,0,0.0,Discovery Bay Masters 2
2,Ellis-Geiger Robert,27931,8,18.69,Discovery Bay Masters 2
3,Rathour Sunil,27939,33,12.6,Discovery Bay Masters 2
4,Ros Tom,29138,16,17.5,Discovery Bay Masters 2
5,Gaffney Noel Patrick,32858,0,6.0,Discovery Bay Masters 2
6,Arnold Martyn,26832,36,12.0,Discovery Bay Masters 2
7,Corbin Steve,26084,44,10.33,Discovery Bay Masters 2
8,Thomsen Flemming,29147,28,13.67,Discovery Bay Masters 2
9,Hannan Tim,31439,49,8.57,Discovery Bay Masters 2
10,Roe David,29575,56,3.6,Discovery Bay Masters 2
11,Haley Richard,28104,51,7.29,Discovery Bay Masters 2
1,Tanner Julian,28057,15,17.73,Hong Kong Football Club M2A
2,Yeung Tak Keung,19143,14,18.0,Hong Kong Football Club M2A
3,Kwok Man Wai Joseph,10119,11,18.5,Hong Kong Football Club M2A
4,Fan William Ying Wai,8728,39,11.4,Hong Kong Football Club M2A
5,Lee Lawrence Chi Hung,28004,20,17.0,Hong Kong Football Club M2A
6,Soo Gene,30113,38,11.5,Hong Kong Football Club M2A
7,Li Wilson Wai Shun,24825,0,14.25,Hong Kong Football Club M2A
8,Law Jack,20200,42,10.5,Hong Kong Football Club M2A
9,Hathiramani Dinesh,21930,26,14.14,Hong Kong Football Club M2A
10,Griffiths Edward,31471,40,11.0,Hong Kong Football Club M2A
10,Wood Andrew,26052,0,15.0,Hong Kong Football Club M2A
11,Au Alex Pak Cheung,28429,0,10.5,Hong Kong Football Club M2A
12,Ng Adrian,27119,32,12.75,Hong Kong Football Club M2A
13,Ng Kien Hoon,24614,0,15.0,Hong Kong Football Club M2A
1,Ng Paul Lap Yan,27257,21,16.0,Hong Kong Football Club M2B
2,Lam Allen Kar Fai,29546,24,15.0,Hong Kong Football Club M2B
3,Gates Stuart,32455,6,20.65,Hong Kong Football Club M2B
4,Zimmermann Michael,32235,5,21.0,Hong Kong Football Club M2B
6,Bitan Eli,28007,31,13.0,Hong Kong Football Club M2B
7,Cross David,28751,29,13.5,Hong Kong Football Club M2B
8,Vartanian Stephane,28973,0,13.5,Hong Kong Football Club M2B
9,Lulla Vikram,28609,0,16.5,Hong Kong Football Club M2B
10,Robinson Lee,30117,0,7.5,Hong Kong Football Club M2B
