Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
1,Tang Tsun Man,Kinetic 7,24.46,318,13,11,2,17B,0.8461538461538461
2,Yip Bill Hing Faat,Dragonfly,24.33,219,9,8,1,17B,0.8888888888888888
3,Tam Rony Kwok Ki,Dragonfly,23.1,231,10,8,2,17B,0.8
4,Yeung Sheung Yue Kelvin,i-Mask Advance Squash Club 14,22.38,291,13,9,4,17B,0.6923076923076923
5,Lo Sin Tung,i-Mask Advance Squash Club 14,22.2,333,15,12,3,17B,0.8
6,Lui Albert Man Lai,Citra Squash Team,21.86,306,14,9,5,17B,0.6428571428571429
7,Chiu Moses,Vitality Squash 2,21.27,234,11,9,2,17B,0.8181818181818182
8,Lai Nga Yin,Kinetic 7,20.25,243,12,11,1,17B,0.9166666666666666
9,Tam Wing Tung,Kinetic 7,20.2,303,15,12,3,17B,0.8
10,Yuen Tai Ming,Citra Squash Team,20.18,222,11,9,2,17B,0.8181818181818182
11,Tang Yan Ning,Fung King 4,20.12,342,17,9,8,17B,0.5294117647058824
12,Chan Sheung Mei,Citra Squash Team,19.5,156,8,7,1,17B,0.875
13,Lau Chi Chun,The Zero Squash Club 4,19.25,231,12,11,1,17B,0.9166666666666666
14,Zhu Lifan,Vitality Squash 2,19.2,96,5,3,2,17B,0.6
15,Lau Kwok Po,Dragonfly,18.9,189,10,7,3,17B,0.7
16,Ho Wing Kai Gladys,i-Mask Advance Squash Club 14,18.56,297,16,13,3,17B,0.8125
17,Yim Ka Wai,Dragonfly,18.0,180,10,9,1,17B,0.9
18,Yuen Kenneth Ka Fai,The Zero Squash Club 4,17.57,246,14,4,10,17B,0.2857142857142857
19,Leung Venus Wing Sze,Dragonfly,17.18,189,11,11,0,17B,1.0
20,Chung Ka Chun,The Zero Squash Club 4,16.67,150,9,5,4,17B,0.5555555555555556
21,Ho Si Nuo,Dr. Squash 3,16.5,231,14,7,7,17B,0.5
22,Teh Alina Hui Xin,Dr. Squash 3,16.5,132,8,4,4,17B,0.5
23,Lo Ching Yin,Kinetic 7,16.2,162,10,7,3,17B,0.7
24,Lau Ben Chung Yin,The Zero Squash Club 4,16.09,177,11,4,7,17B,0.36363636363636365
25,Wong Yee Ka,Fung King 4,16.0,240,15,6,9,17B,0.4
26,Yu Kit Yi,Friend Club 9,15.6,78,5,3,2,17B,0.6
27,Lai Chun Lam,Kinetic 7,15.33,138,9,7,2,17B,0.7777777777777778
28,Meng Philip Xiang Chao,Dr. Squash 3,15.25,183,12,2,10,17B,0.16666666666666666
29,Lau Louise Wing Ka,Dragonfly,15.0,150,10,6,4,17B,0.6
30,Lai Ping Ngai,Kinetic 7,14.57,102,7,5,2,17B,0.7142857142857143
31,Keung Olive Man Yee,Dragonfly,14.18,156,11,10,1,17B,0.9090909090909091
32,Seeto Shun Yin,CPS,14.18,156,11,1,10,17B,0.09090909090909091
33,Chiu Joshua,Vitality Squash 2,14.0,126,9,3,6,17B,0.3333333333333333
