Order,HKS No.,Name of Players,Ranking,Points,Team
1,29669,Lau Kwok Po,15,18.17,Dragonfly
2,31429,Yim Ka Wai,18,16.59,Dragonfly
3,26900,Leung Venus Wing Sze,24,15.50,Dragonfly
4,25094,Lau Louise Wing Ka,23,16.11,Dragonfly
5,27182,Keung Olive Man Yee,36,12.83,Dragonfly
6,26898,Lau Mandy Yee Man,37,11.77,Dragonfly
1,32004,Hung Ho Kit,1,26.06,Giant 2
2,32321,Ho Sheung Chit,7,21.94,Giant 2
3,32175,Wai Pak Lam,8,21.88,Giant 2
4,31901,Li Clarissa,13,19.12,Giant 2
5,32246,Tse Tsz Kui,20,16.42,Giant 2
6,32005,Hung Hon Kit,0,,Giant 2
7,32814,Lui Wing Ki,43,8.80,Giant 2
1,30219,Yu Hon Lam,0,15.00,i-Mask Advance Squash Club 12
2,32072,Yung Lok,2,23.08,i-Mask Advance Squash Club 12
2,31717,Ng Kai Him Kendrew,0,12.00,i-Mask Advance Squash Club 12
3,30220,Yu Hon Lai,0,9.00,i-Mask Advance Squash Club 12
4,32276,Wong Issac Shiu Jit,6,22.00,i-Mask Advance Squash Club 12
5,32262,Pun Loch,10,20.73,i-Mask Advance Squash Club 12
6,31819,So Wan Kiu,32,13.60,i-Mask Advance Squash Club 12
7,32112,Au Sin Man,34,13.09,i-Mask Advance Squash Club 12
8,31226,Fung Hoi Man Cora,0,13.00,i-Mask Advance Squash Club 12
9,31074,Cheung Rachael Yin Wa,44,8.57,i-Mask Advance Squash Club 12
1,30089,Chow Ka Lun,26,15.00,PLZ
2,32198,Ching Pak Hin,33,13.12,PLZ
3,31056,Ng Terry Yu Hin,46,8.31,PLZ
4,30090,Chan Hin Chiu,51,5.12,PLZ
5,29533,Cheung Hoi Suen,49,6.00,PLZ
1,31649,Wong Chun Hei Ivan,4,22.25,Smart Squash 5
2,31650,Wong Chun Sum Ian,11,19.75,Smart Squash 5
3,31997,Ng Kin Chun,17,16.64,Smart Squash 5
4,31675,Li Pak Hei,28,14.50,Smart Squash 5
5,32853,Chung Ho Yin Will,19,16.57,Smart Squash 5
6,32165,Tseng O Him,40,9.80,Smart Squash 5
7,32712,Chok Wai Hin,45,8.54,Smart Squash 5
8,30103,Wong Tammy Hoi Yan,0,10.50,Smart Squash 5
1,31309,Leung Hok Sum,9,20.79,Squashathon
2,32953,Chow Lionel,22,16.29,Squashathon
3,32774,Lee Clarence,0,,Squashathon
4,33137,Leung Yuen Yat,42,9.00,Squashathon
5,32119,Chan Hoi Tung,39,10.25,Squashathon
6,33008,Lam Hoi Ha,41,9.75,Squashathon
7,31719,Chan Wai Bing,48,6.33,Squashathon
8,32654,Lee Hoi Ying,50,5.67,Squashathon
9,33007,Leung Wai Hong,52,4.00,Squashathon
10,33126,Li Sek Kwai,53,3.90,Squashathon
1,31992,Mok Shun Hei,16,17.75,Vitality Squash 4
2,32456,Meng Philip Xiang Chao,12,19.50,Vitality Squash 4
3,32173,Chan Leong Wai Matthew,25,15.00,Vitality Squash 4
4,32631,Sun Natalie Jia-Ning,30,13.88,Vitality Squash 4
5,32377,Ho Hoi Kiu Bernice,0,3.00,Vitality Squash 4
6,32836,Sun Anya Jia-An,47,8.14,Vitality Squash 4
7,32755,Chan Kylie Lok Yee,0,11.25,Vitality Squash 4
1,32354,Wong Sze Yu,5,22.09,YLJR 3
2,32038,Cheung Ka Hin,3,22.94,YLJR 3
3,32604,Kun Yik Lam,21,16.36,YLJR 3
4,32465,Wong Hon Yin Jeffrey,14,18.67,YLJR 3
5,32710,Chan Ho Hei,27,14.50,YLJR 3
6,32367,Wong Tsz Ting,35,12.90,YLJR 3
7,32733,Ho Chun Hin,29,14.45,YLJR 3
8,32863,Fung Chi Kin,38,10.36,YLJR 3
9,32590,Chan Tak Lun,31,13.64,YLJR 3
