Order,HKS No.,Name of Players,Ranking,Points,Team
1,21229,Khan Faheem,1,23.67,HK Club Gold
3,32271,Gray Jonathan,11,17.50,HK Club Gold
4,26068,Robinson David,21,13.60,HK Club Gold
5,25742,Nihalani Manoj,22,13.33,HK Club Gold
6,23276,Ng Elise Jia Yunn,20,13.71,HK Club Gold
7,16932,Barrington James,0,13.50,HK Club Gold
8,19704,Reid Dallas,29,10.80,HK Club Gold
1,27572,Sunde Chad,2,23.40,Hong Kong Cricket Club M1A
2,31243,Andrews Rod,6,20.29,Hong Kong Cricket Club M1A
5,31905,Moxquiaux Thierry,4,21.00,Hong Kong Cricket Club M1A
6,26358,Chin Michael,16,16.00,Hong Kong Cricket Club M1A
9,30975,Cowley Richard David,35,9.00,Hong Kong Cricket Club M1A
10,28905,Hoogendijk Mark,0,13.50,Hong Kong Cricket Club M1A
11,32993,Lamb Russell,27,11.57,Hong Kong Cricket Club M1A
12,27979,Neilson Phil,0,12.00,Hong Kong Cricket Club M1A
1,26831,Head Phil,9,19.11,Hong Kong Cricket Club M1B
2,29301,Trench Wayne,12,16.91,Hong Kong Cricket Club M1B
3,31377,Stevenson John Arthur Liam,13,16.71,Hong Kong Cricket Club M1B
4,29822,Van Voorst Michiel,15,16.12,Hong Kong Cricket Club M1B
5,29549,Achouch Frank,34,9.60,Hong Kong Cricket Club M1B
6,30507,Bruwer Frank,17,15.86,Hong Kong Cricket Club M1B
7,29597,Lau Brian,0,12.00,Hong Kong Cricket Club M1B
9,30129,Gaonach Matthieu,0,18.00,Hong Kong Cricket Club M1B
10,28734,Tancock Alexander,0,,Hong Kong Cricket Club M1B
1,30509,Ward Andrew,3,22.20,Hong Kong Football Club M1A
2,23259,Dyus Hugh,19,14.54,Hong Kong Football Club M1A
3,24902,MacDougall Brian,33,10.12,Hong Kong Football Club M1A
4,29908,Krishnan Eashwar,0,,Hong Kong Football Club M1A
5,28231,Robinson Matthew,24,13.20,Hong Kong Football Club M1A
6,27202,Szeto Chi Yan Stanley,0,9.00,Hong Kong Football Club M1A
7,29502,Barton Jonathan,30,10.60,Hong Kong Football Club M1A
8,29812,Long Adrian,32,10.20,Hong Kong Football Club M1A
9,30787,Kostienko Krzysztof,40,6.60,Hong Kong Football Club M1A
10,27566,Niederberger Jurg,41,6.43,Hong Kong Football Club M1A
1,24185,Kerr Malcolm,10,18.75,Hong Kong Football Club M1B
2,29779,Tulloch Gillem,5,20.50,Hong Kong Football Club M1B
3,25743,Nihalani Rajesh,26,12.86,Hong Kong Football Club M1B
4,32903,^ Roux Pieter Le,23,13.26,Hong Kong Football Club M1B
5,26685,Waldie Jason,28,11.50,Hong Kong Football Club M1B
6,29660,Ho Simon Man Kai,37,8.57,Hong Kong Football Club M1B
7,29817,Liden Roger,31,10.50,Hong Kong Football Club M1B
8,21638,Hazari Ajay,38,8.40,Hong Kong Football Club M1B
9,29507,Thompson John,42,6.00,Hong Kong Football Club M1B
1,25822,Frith Keith,7,19.40,United Services Recreation Club M1 Cougars
2,19611,Chiu Rebecca Wing Yin,14,16.15,United Services Recreation Club M1 Cougars
3,28984,Teo Terence Lok Tsong,8,19.31,United Services Recreation Club M1 Cougars
4,22573,Ng Carven Chi Ho,35,9.00,United Services Recreation Club M1 Cougars
5,27573,Soo Euan Tsung Liang,18,15.00,United Services Recreation Club M1 Cougars
7,21703,Ragless Julian,25,12.86,United Services Recreation Club M1 Cougars
8,21350,Wasyliw Bob,39,7.71,United Services Recreation Club M1 Cougars
9,23386,Fjelddahl Bjorn,0,,United Services Recreation Club M1 Cougars
10,31471,Griffiths Edward,0,9.00,United Services Recreation Club M1 Cougars
