Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
1,Ting Philip Wai Man,Phoenix 1,26.0,390,15,15,0,M4,1.0
2,Swarbrick Andrew,Hong Kong Cricket Club Young Masters,22.91,252,11,9,2,M4,0.8181818181818182
3,Woo Heng Che Stephen,The Hong Kong Jockey Club M4,21.86,153,7,6,1,M4,0.8571428571428571
4,Brettell David,Perrier Sergio Tacchini KCC M4,21.6,324,15,11,4,M4,0.7333333333333333
5,Hsu Marvin,The Hong Kong Jockey Club M4,21.5,129,6,4,2,M4,0.6666666666666666
6,Lee Dennis Yuk Kai,The Hong Kong Jockey Club M4,21.43,150,7,5,2,M4,0.7142857142857143
7,Wong William Wai Ming,Hong Kong Football Club M4,21.0,168,8,6,2,M4,0.75
8,Wong Michael Wai Leung,Phoenix 1,20.54,267,13,12,1,M4,0.9230769230769231
9,Bernard Edwin,Hong Kong Cricket Club Young Masters,20.1,201,10,7,3,M4,0.7
10,Fraser William,WAKO Masters,20.0,120,6,4,2,M4,0.6666666666666666
11,Ho Wai Ying,The Hong Kong Jockey Club M4,19.8,198,10,9,1,M4,0.9
12,Ko Cecil,The Hong Kong Jockey Club M4,19.5,195,10,7,3,M4,0.7
13,Kundamal Dhiraj,Perrier Sergio Tacchini KCC M4,19.12,153,8,5,3,M4,0.625
14,Chan Chi Ming,WAKO Masters,19.12,153,8,3,5,M4,0.375
15,Chang Sean Pey,Hong Kong Cricket Club Young Masters,17.5,105,6,5,1,M4,0.8333333333333334
16,Wilby John,Bolton,17.0,102,6,4,2,M4,0.6666666666666666
17,Sullivan Andrew,Bolton,16.91,186,11,4,7,M4,0.36363636363636365
18,Wong Kenneth Wai Lun,Phoenix 1,16.5,231,14,9,5,M4,0.6428571428571429
19,Martin Timothy,Bolton,16.5,132,8,3,5,M4,0.375
20,Cherneski Elliott,Royal Hong Kong Yacht Club M4,16.5,132,8,1,7,M4,0.125
21,Coniam David,WAKO Masters,16.31,261,16,12,4,M4,0.75
22,Sin William Wai Lam,WAKO Masters,16.07,225,14,6,8,M4,0.42857142857142855
23,Tong Franco Sui Lun,The Hong Kong Jockey Club M4,16.0,144,9,7,2,M4,0.7777777777777778
23,Wright Martin,Bolton,16.0,192,12,7,5,M4,0.5833333333333334
25,Ho Kwan Lun,Hong Kong Football Club M4,15.67,141,9,2,7,M4,0.2222222222222222
26,Tsang Wai Kit Paul,Perrier Sergio Tacchini KCC M4,15.3,153,10,8,2,M4,0.8
27,Dong Ka Chung Jacky,The Hong Kong Jockey Club M4,15.0,165,11,11,0,M4,1.0
28,Tang Thomas Sek Khuen,Hong Kong Football Club M4,15.0,90,6,1,5,M4,0.16666666666666666
29,Ip Kenny Lau Chuen,The Hong Kong Jockey Club M4,14.25,114,8,5,3,M4,0.625
30,Fraser Peter,Perrier Sergio Tacchini KCC M4,13.93,195,14,11,3,M4,0.7857142857142857
31,Cox Simon,HK Club Blue,13.8,69,5,0,5,M4,0.0
32,Kennel Yannick,Royal Hong Kong Yacht Club M4,13.67,123,9,0,9,M4,0.0
33,Webb Trevor,WAKO Masters,13.29,186,14,8,6,M4,0.5714285714285714
34,Sutherland Donald,Hong Kong Cricket Club Young Masters,13.25,159,12,6,6,M4,0.5
35,Mak Derek Kam Yuen,WAKO Masters,12.86,90,7,5,2,M4,0.7142857142857143
36,Bradbury Adrian,Hong Kong Cricket Club Young Masters,12.67,114,9,7,2,M4,0.7777777777777778
37,Lo Tin Yee Clement,Perrier Sergio Tacchini KCC M4,12.43,87,7,2,5,M4,0.2857142857142857
38,Pawlyn Ben,Bolton,12.33,111,9,6,3,M4,0.6666666666666666
39,Milner-Barry Philip,HK Club Blue,12.33,111,9,1,8,M4,0.1111111111111111
40,Lee Dennis,Phoenix 1,12.27,135,11,8,3,M4,0.7272727272727273
41,Dunn Roger Turner,Royal Hong Kong Yacht Club M4,12.27,135,11,1,10,M4,0.09090909090909091
42,Garda Pedro,WAKO Masters,12.0,96,8,6,2,M4,0.75
43,Tang Gary Woon Cheung,WAKO Masters,12.0,60,5,4,1,M4,0.8
44,Zimmermann Lorenz,Hong Kong Cricket Club Young Masters,11.67,105,9,6,3,M4,0.6666666666666666
45,Debnam Nicholas James,HK Club Blue,11.5,69,6,4,2,M4,0.6666666666666666
46,Sackett Eleanor,HK Club Blue,11.5,138,12,3,9,M4,0.25
47,Glover Stephen,Bolton,11.4,57,5,2,3,M4,0.4
48,Theil Rene,Royal Hong Kong Yacht Club M4,11.0,66,6,2,4,M4,0.3333333333333333
49,Leung Chui Ming Micky,Phoenix 1,10.5,105,10,6,4,M4,0.6
50,Wong Anthony Yik Cheong,Phoenix 1,10.29,72,7,3,4,M4,0.42857142857142855
51,Fong Kong Raymond,Hong Kong Football Club M4,10.2,51,5,2,3,M4,0.4
52,Sung Iris,Hong Kong Football Club M4,10.0,90,9,3,6,M4,0.3333333333333333
53,Healy Richard,Bolton,9.75,78,8,3,5,M4,0.375
54,McLennan Justin,HK Club Blue,9.0,99,11,3,8,M4,0.2727272727272727
55,Ng Simon Chi Ming,Hong Kong Football Club M4,9.0,63,7,1,6,M4,0.14285714285714285
56,Wong Terbin Tung,Perrier Sergio Tacchini KCC M4,8.57,60,7,4,3,M4,0.5714285714285714
57,Buttifant Barry John,HK Club Blue,8.14,57,7,2,5,M4,0.2857142857142857
58,Hughes Trevor,Bolton,8.0,48,6,3,3,M4,0.5
59,Lam Wai Ming,Hong Kong Football Club M4,7.12,57,8,2,6,M4,0.25
60,Vera Henry,Hong Kong Cricket Club Young Masters,6.3,63,10,5,5,M4,0.5
61,Cheung Peter Yuk Fun,Royal Hong Kong Yacht Club M4,4.64,51,11,0,11,M4,0.0
62,O'Connell Eamonn,HK Club Blue,4.29,30,7,1,6,M4,0.14285714285714285
63,Peirse Adrian,Royal Hong Kong Yacht Club M4,2.33,21,9,1,8,M4,0.1111111111111111
64,Chui Benjamin,Royal Hong Kong Yacht Club M4,1.75,21,12,0,12,M4,0.0
65,Chan Peggy,Hong Kong Football Club M4,0.6,3,5,0,5,M4,0.0
,Brien Peter Wilhelm Hubert,HK Club Blue,23.0,69,3,2,1,M4,0.6666666666666666
,Tang Man Shing,Perrier Sergio Tacchini KCC M4,16.5,33,2,2,0,M4,1.0
,Tang Raymond Wai Ming,Perrier Sergio Tacchini KCC M4,16.0,48,3,3,0,M4,1.0
,Peaker Mark,HK Club Blue,16.0,48,3,3,0,M4,1.0
,Matharu Channi,Hong Kong Football Club M4,15.0,15,1,1,0,M4,1.0
,Tse Ray,Royal Hong Kong Yacht Club M4,14.0,42,3,1,2,M4,0.3333333333333333
,Kracht Stefan,HK Club Blue,14.0,42,3,1,2,M4,0.3333333333333333
,Hinchcliffe Robert Bruce,HK Club Blue,14.0,42,3,1,2,M4,0.3333333333333333
,Tyen Cedric Kwong Hui,The Hong Kong Jockey Club M4,13.0,39,3,3,0,M4,1.0
,Mak Chee Soon,Phoenix 1,12.0,24,2,1,1,M4,0.5
,Duncombe Emma,Hong Kong Football Club M4,12.0,36,3,1,2,M4,0.3333333333333333
,Rhys Benjamin,HK Club Blue,12.0,48,4,1,3,M4,0.25
,Hira Ajay,Perrier Sergio Tacchini KCC M4,12.0,36,3,0,3,M4,0.0
,Sung Stephen,Hong Kong Football Club M4,11.25,45,4,2,2,M4,0.5
,Thind Harry,Hong Kong Football Club M4,10.5,21,2,0,2,M4,0.0
,Wood Mike,HK Club Blue,10.0,30,3,0,3,M4,0.0
,Adcock Barry,Bolton,9.0,9,1,1,0,M4,1.0
,Wong Javy Ki Ling,Hong Kong Football Club M4,9.0,36,4,0,4,M4,0.0
,Chau Phil,Hong Kong Football Club M4,8.25,33,4,1,3,M4,0.25
,Niehorster James,Bolton,8.0,24,3,2,1,M4,0.6666666666666666
,Chiu Chi Shing,WAKO Masters,7.5,15,2,1,1,M4,0.5
,Garland Keith Roy,Royal Hong Kong Yacht Club M4,7.5,30,4,0,4,M4,0.0
,Smith Robert,Hong Kong Cricket Club Young Masters,7.0,21,3,0,3,M4,0.0
,Luk Thomas Yun Tong,The Hong Kong Jockey Club M4,6.75,27,4,1,3,M4,0.25
,Iannazzo Angelo,Royal Hong Kong Yacht Club M4,6.0,12,2,0,2,M4,0.0
,Smith Simon,Bolton,6.0,12,2,0,2,M4,0.0
,Wu Vincent Ka Sing,The Hong Kong Jockey Club M4,3.0,3,1,0,1,M4,0.0
,Leader Roger,HK Club Blue,3.0,3,1,0,1,M4,0.0
,Ip Yee Chiu,The Hong Kong Jockey Club M4,2.25,9,4,0,4,M4,0.0
,Cheng Chung Wing Raymond,Hong Kong Football Club M4,2.0,6,3,0,3,M4,0.0
,Guest Claire,Hong Kong Cricket Club Young Masters,0.0,0,1,0,1,M4,0.0
,Wan Vincent Shui Tong,Perrier Sergio Tacchini KCC M4,0.0,0,1,0,1,M4,0.0
