Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
1,Lee Ka Yi,PERRIER SERGIO TACCHINI KCC L1B,23.25,186,8,6,2,L1,0.75
2,Chu Vanessa Man Yee,Hong Kong Cricket Club L1,22.0,132,6,4,2,L1,0.6666666666666666
3,Tong Tsz Wing,PERRIER SERGIO TACCHINI KCC L1A,20.57,144,7,4,3,L1,0.5714285714285714
4,Cheng Nga Ching,PERRIER SERGIO TACCHINI KCC L1A,20.25,162,8,7,1,L1,0.875
5,Cheng Miriam Min-Chen,PERRIER SERGIO TACCHINI KCC L1B,20.25,162,8,6,2,L1,0.75
6,Chan Sin Yuk,Young Player L1,19.2,96,5,2,3,L1,0.4
7,Fung Ching Hei,Young Player L1,17.67,159,9,5,4,L1,0.5555555555555556
8,Tse Toby Yee Lam,Young Player L1,17.33,156,9,6,3,L1,0.6666666666666666
9,Ho Ka Po,PERRIER SERGIO TACCHINI KCC L1A,16.12,129,8,5,3,L1,0.625
10,Wu Renee,Hong Kong Football Club L1,15.75,126,8,6,2,L1,0.75
11,Wong Kirstie Po Yui,Hong Kong Cricket Club L1,14.0,84,6,1,5,L1,0.16666666666666666
12,Li Sum Yin,PERRIER SERGIO TACCHINI KCC L1B,13.71,96,7,3,4,L1,0.42857142857142855
13,Lee Ka Man Carmen,Hong Kong Football Club L1,12.0,72,6,0,6,L1,0.0
14,Tang Fion Yan Yi,Hong Kong Football Club L1,10.8,54,5,1,4,L1,0.2
15,Wai Sze Wing,Hong Kong Cricket Club L1,10.0,60,6,1,5,L1,0.16666666666666666
16,Lee Sze Yu,Hong Kong Cricket Club L1,9.0,63,7,0,7,L1,0.0
,Liu Tsz Ling,Hong Kong Football Club L1,23.25,93,4,3,1,L1,0.75
,Tam Cho Nga Mariko,Hong Kong Football Club L1,21.0,21,1,1,0,L1,1.0
,Ho Tomato Tze Lok,Young Player L1,20.0,60,3,2,1,L1,0.6666666666666666
,Ho Ka Wing Janice,PERRIER SERGIO TACCHINI KCC L1A,18.0,36,2,1,1,L1,0.5
,Lam Po Ying,PERRIER SERGIO TACCHINI KCC L1B,15.0,30,2,1,1,L1,0.5
,Lam Jannis Wing Hei,PERRIER SERGIO TACCHINI KCC L1B,13.5,27,2,1,1,L1,0.5
,Wong Jessica Po Sze,Hong Kong Cricket Club L1,6.0,12,2,0,2,L1,0.0
,Li Cheryl Wing Sze,PERRIER SERGIO TACCHINI KCC L1A,6.0,12,2,0,2,L1,0.0
,Lee Sze Lok,Young Player L1,6.0,6,1,0,1,L1,0.0
