Order,Player,HKS No.,Ranking,Points,Team
1,Wong Jessica Po Sze,29770,9,18.75,Hong Kong Cricket Club L2A
2,Kwong Sarah Wing Yan,29759,3,21.5,Hong Kong Cricket Club L2A
3,Hui Kwai Wah Monique,29587,8,20.14,Hong Kong Cricket Club L2A
4,Yip Melody Kwun Ting,29606,6,20.57,Hong Kong Cricket Club L2A
5,Li Hoi Ting,31828,16,12.75,Hong Kong Cricket Club L2A
1,Lau Ching Lam Angie,31902,0,0.0,Hong Kong Cricket Club L2B
2,Tse Chi Ting Anson,31938,0,27.0,Hong Kong Cricket Club L2B
3,Kwok Charmaine,32182,0,19.5,Hong Kong Cricket Club L2B
4,Li Leanne Gi Ming,27369,14,14.8,Hong Kong Cricket Club L2B
5,Leung Kam Yan,32041,15,14.25,Hong Kong Cricket Club L2B
6,Wan Mandy Man Yi,27608,0,12.0,Hong Kong Cricket Club L2B
1,Chan Olivia,29170,5,20.6,Hong Kong Football Club L2A
2,Li Pinky Wing Shan,27906,7,20.18,Hong Kong Football Club L2A
3,Yeung Yurisa,29542,2,22.12,Hong Kong Football Club L2A
4,Chung Ka Yau,32992,10,17.7,Hong Kong Football Club L2A
1,Lau Karen Siu Ying,25833,1,24.27,Hong Kong Football Club L2B
2,Ip Hayley Hoi Ning,29265,13,15.0,Hong Kong Football Club L2B
3,Chan Christine Yik Tat,27830,18,11.36,Hong Kong Football Club L2B
4,Lam Yin Tung,32973,12,15.6,Hong Kong Football Club L2B
5,Kumar Ruchika,29510,0,11.25,Hong Kong Football Club L2B
1,Lam Jillian,32422,4,21.0,Hong Kong Football Club L2C
2,Chan Niki Sin Hok,30432,17,11.73,Hong Kong Football Club L2C
3,Mishra Ipsa,34129,11,17.0,Hong Kong Football Club L2C
4,Chiu Hau Ching,33483,19,10.0,Hong Kong Football Club L2C
5,Sung Iris,22099,20,7.67,Hong Kong Football Club L2C
