Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
1,Poon Sunny Yat Sing,Old Squash Fellows,26.0,156,6,6,0,15A,1.0
2,Ko Toby Ho Yin,HKPF Squash Team,25.42,483,19,18,1,15A,0.9473684210526315
3,Lau Shing Chung Simon,HKPF Squash Team,22.67,408,18,17,1,15A,0.9444444444444444
4,Detaramani Sunil,Sergio Tacchini KCC 15,20.73,228,11,6,5,15A,0.5454545454545454
5,Chiu Vincent Man Shun,Old Squash Fellows,20.67,186,9,5,4,15A,0.5555555555555556
6,Yao Tang Fat Elbert,United Services Recreation Club 3,19.88,318,16,15,1,15A,0.9375
7,Jones Robert F.,Hong Kong Football Club 15,19.8,297,15,12,3,15A,0.8
8,Ma Charles Chun Fung,Tuen Mun Squash Club,19.76,336,17,9,8,15A,0.5294117647058824
9,Tam Chiu Wai,HKPF Squash Team,18.6,279,15,14,1,15A,0.9333333333333333
10,Samtani Rakesh,Sergio Tacchini KCC 15,18.33,330,18,16,2,15A,0.8888888888888888
11,Amjad Zain,Hong Kong Football Club 15,18.2,273,15,7,8,15A,0.4666666666666667
12,Fong Wai Kuen,Boss,18.17,327,18,7,11,15A,0.3888888888888889
13,Ho Wai Ying,Boss,17.44,279,16,13,3,15A,0.8125
14,Ma Chun Wah,Tuen Mun Squash Club,16.8,84,5,2,3,15A,0.4
15,Cheung Peter Tat Kei,United Services Recreation Club 3,16.2,162,10,4,6,15A,0.4
16,Tong Chi On,United Services Recreation Club 3,16.12,129,8,3,5,15A,0.375
17,Kundamal Dhiraj,Sergio Tacchini KCC 15,16.0,192,12,4,8,15A,0.3333333333333333
18,Wong Kwok Hee,Tuen Mun Squash Club,15.94,255,16,10,6,15A,0.625
19,Yuen Kermit Ka Fai,United Services Recreation Club 3,15.9,159,10,2,8,15A,0.2
20,Ip Thomas Shun Moon,Boss,15.67,282,18,9,9,15A,0.5
21,So Anthony Fuk Chi,Old Squash Fellows,15.6,234,15,11,4,15A,0.7333333333333333
22,Chu Lap Sun,United Services Recreation Club 3,15.38,246,16,11,5,15A,0.6875
23,Ku Wai Hang William,United Services Recreation Club 3,14.5,87,6,6,0,15A,1.0
24,Sih Peter Wai Hang,Old Squash Fellows,14.4,216,15,6,9,15A,0.4
25,Brettell David,Sergio Tacchini KCC 15,14.25,228,16,6,10,15A,0.375
26,Leung Man Wah,HKPF Squash Team,13.6,204,15,11,4,15A,0.7333333333333333
27,Luk Raymond Yiu Fai,Boss,13.31,213,16,12,4,15A,0.75
28,Yang Michael Yazun,Hong Kong Football Club 15,12.6,63,5,2,3,15A,0.4
29,Tsang Patrick Hing Suen,Tuen Mun Squash Club,12.5,75,6,5,1,15A,0.8333333333333334
30,Chan Gordon Yiu Cheong,Hong Kong Football Club 15,12.27,135,11,6,5,15A,0.5454545454545454
31,Yip Simon Shing On,Tuen Mun Squash Club,11.79,165,14,2,12,15A,0.14285714285714285
32,Yam Ken Luen Kai,Old Squash Fellows,11.67,105,9,2,7,15A,0.2222222222222222
33,Wong Alex Siu Ming,Old Squash Fellows,11.14,78,7,0,7,15A,0.0
34,Daigneavlt Christian,United Services Recreation Club 3,10.93,153,14,7,7,15A,0.5
35,Bachani Vinay Suresh,Sergio Tacchini KCC 15,10.91,120,11,4,7,15A,0.36363636363636365
36,Li Kelvin Hon Hun,Boss,10.91,120,11,1,10,15A,0.09090909090909091
37,Fung Bruce Wai Ho,Boss,10.6,159,15,11,4,15A,0.7333333333333333
38,Chan Paul Chiu Hung,Tuen Mun Squash Club,10.0,120,12,5,7,15A,0.4166666666666667
39,Li Kin Wah,HKPF Squash Team,9.2,138,15,6,9,15A,0.4
40,Ng Coleman Shung Ching,United Services Recreation Club 3,9.0,90,10,6,4,15A,0.6
41,Chan Bill Kwok Ming,HKPF Squash Team,9.0,72,8,2,6,15A,0.25
42,Fraser Peter,Sergio Tacchini KCC 15,7.5,75,10,4,6,15A,0.4
43,Tsang Wai Kit Paul,Sergio Tacchini KCC 15,7.12,114,16,5,11,15A,0.3125
44,Ng Simon Chi Ming,Hong Kong Football Club 15,7.09,78,11,1,10,15A,0.09090909090909091
45,Cheng Chi Kin Austin,Tuen Mun Squash Club,7.0,63,9,2,7,15A,0.2222222222222222
46,Szeto Stephen Sai Hoi,Old Squash Fellows,6.0,60,10,3,7,15A,0.3
47,Chan Po Sing,HKPF Squash Team,6.0,30,5,2,3,15A,0.4
48,Cheung Thomas,Hong Kong Football Club 15,4.75,57,12,2,10,15A,0.16666666666666666
49,So Yin Wei Winnie,Old Squash Fellows,4.0,36,9,1,8,15A,0.1111111111111111
50,Tsoi Chi Chuen,Tuen Mun Squash Club,2.4,24,10,1,9,15A,0.1
,Lee Maurice King Sun,Boss,21.0,42,2,2,0,15A,1.0
,* Poon Victor King Him,Old Squash Fellows,18.0,18,1,0,1,15A,0.0
,Lui Kin Wai Kenny,Boss,15.0,60,4,3,1,15A,0.75
,Hira Ajay,Sergio Tacchini KCC 15,12.0,36,3,2,1,15A,0.6666666666666666
,Levaire Romain Pierre,Hong Kong Football Club 15,9.0,18,2,0,2,15A,0.0
,Chan Ringo Wai Kwong,HKPF Squash Team,9.0,9,1,0,1,15A,0.0
,Kong Bryan Yiu Kai,HKPF Squash Team,8.0,24,3,2,1,15A,0.6666666666666666
,Mirapuri Rajesh,United Services Recreation Club 3,6.0,24,4,1,3,15A,0.25
,Duncombe Emma,Hong Kong Football Club 15,6.0,12,2,0,2,15A,0.0
,Kundamal Khiron,Sergio Tacchini KCC 15,4.5,9,2,1,1,15A,0.5
,Mitchell Aiteina,Hong Kong Football Club 15,4.0,12,3,1,2,15A,0.3333333333333333
,Chau Phil,Hong Kong Football Club 15,3.75,15,4,0,4,15A,0.0
,Fan Da Jong,Old Squash Fellows,3.0,3,1,0,1,15A,0.0
,Chan Ho Lam,HKPF Squash Team,3.0,3,1,0,1,15A,0.0
,To Alva Yu Hung,Old Squash Fellows,3.0,3,1,0,1,15A,0.0
,Chan Lai Cheong,Tuen Mun Squash Club,3.0,3,1,0,1,15A,0.0
,Melwani Nitish Raju,Hong Kong Football Club 15,2.25,9,4,0,4,15A,0.0
,Chew Alexander,Hong Kong Football Club 15,1.5,3,2,0,2,15A,0.0
,Lam Wai Ming,Hong Kong Football Club 15,1.0,3,3,0,3,15A,0.0
,Vachha Shiroy,Sergio Tacchini KCC 15,1.0,3,3,0,3,15A,0.0
,Leung Yuk Chiu James,Old Squash Fellows,0.0,0,1,0,1,15A,0.0
,Kundamal Neel,Sergio Tacchini KCC 15,0.0,0,2,0,2,15A,0.0
,Laungani Taran,Sergio Tacchini KCC 15,0.0,0,1,0,1,15A,0.0
,Tilbrook Nicolas,United Services Recreation Club 3,0.0,0,1,0,1,15A,0.0
,Lai Kwok Wai,HKPF Squash Team,0.0,0,0,0,0,15A,
,Webb James,United Services Recreation Club 3,0.0,0,0,0,0,15A,
,Chow Wing Ho,Tuen Mun Squash Club,0.0,0,0,0,0,15A,
,Miu Peter Wah Ching,United Services Recreation Club 3,0.0,0,0,0,0,15A,
