Player Name,HKS No.,Team,Opponent Name,Opponent HKS No.,Opponent Team,Match Date,Venue,Rubber Number,Score,Result,Home/Away
Chung Yat Long,29836.0,FWD,Yip Tsz Fung,28146.0,Hong Kong Football Club 1B,06/03/2025,HK Squash Centre,1,3-0,Win,Home
Yip Tsz Fung,28146.0,Hong Kong Football Club 1B,Chung Yat Long,29836.0,FWD,06/03/2025,HK Squash Centre,1,0-3,Loss,Away
Chan Russell Chi Ho,30075.0,FWD,Cheng Ting To Brogan,32047.0,Hong Kong Football Club 1B,06/03/2025,HK Squash Centre,2,3-0,Win,Home
Cheng Ting To Brogan,32047.0,Hong Kong Football Club 1B,Chan Russell Chi Ho,30075.0,FWD,06/03/2025,HK Squash Centre,2,0-3,Loss,Away
Cheung Ka Yau,30944.0,FWD,Lee Tin Hang,31713.0,Hong Kong Football Club 1B,06/03/2025,HK Squash Centre,3,1-3,Loss,Home
Lee Tin Hang,31713.0,Hong Kong Football Club 1B,Cheung Ka Yau,30944.0,FWD,06/03/2025,HK Squash Centre,3,3-1,Win,Away
Tang Ming Hong,28463.0,Kowloon Cricket Club 1A,Wong Chi Him,28658.0,Hong Kong Cricket Club 1,06/03/2025,Kowloon Cricket Club,1,2-3,Loss,Home
Wong Chi Him,28658.0,Hong Kong Cricket Club 1,Tang Ming Hong,28463.0,Kowloon Cricket Club 1A,06/03/2025,Kowloon Cricket Club,1,3-2,Win,Away
Lam Matthew Shing Fung,30524.0,Kowloon Cricket Club 1A,Unknown,,Hong Kong Cricket Club 1,06/03/2025,Kowloon Cricket Club,2,0-3,Loss,Home
Unknown,,Hong Kong Cricket Club 1,Lam Matthew Shing Fung,30524.0,Kowloon Cricket Club 1A,06/03/2025,Kowloon Cricket Club,2,3-0,Win,Away
Wong Wing Kuen,31953.0,Kowloon Cricket Club 1A,Unknown,,Hong Kong Cricket Club 1,06/03/2025,Kowloon Cricket Club,3,3-0,Win,Home
Unknown,,Hong Kong Cricket Club 1,Wong Wing Kuen,31953.0,Kowloon Cricket Club 1A,06/03/2025,Kowloon Cricket Club,3,0-3,Loss,Away
Lau Tsz Kwan,28722.0,Hong Kong Football Club 1A,Au Lap Man Rex,30742.0,Kowloon Cricket Club 1B,06/03/2025,Hong Kong Football Club,1,2-3,Loss,Home
Au Lap Man Rex,30742.0,Kowloon Cricket Club 1B,Lau Tsz Kwan,28722.0,Hong Kong Football Club 1A,06/03/2025,Hong Kong Football Club,1,3-2,Win,Away
Lau Dick Siu Wai,25832.0,Hong Kong Football Club 1A,Tam Tommy Tsz Shing,31712.0,Kowloon Cricket Club 1B,06/03/2025,Hong Kong Football Club,2,0-3,Loss,Home
Tam Tommy Tsz Shing,31712.0,Kowloon Cricket Club 1B,Lau Dick Siu Wai,25832.0,Hong Kong Football Club 1A,06/03/2025,Hong Kong Football Club,2,3-0,Win,Away
Unknown,,Hong Kong Football Club 1A,Man Tsz Wing,31426.0,Kowloon Cricket Club 1B,06/03/2025,Hong Kong Football Club,3,3-2,Win,Home
Man Tsz Wing,31426.0,Kowloon Cricket Club 1B,Unknown,,Hong Kong Football Club 1A,06/03/2025,Hong Kong Football Club,3,2-3,Loss,Away
