Player Name,HKS No.,Team,Opponent Name,Opponent HKS No.,Opponent Team,Match Date,Venue,Rubber Number,Score,Result,Home/Away
Ward Andrew,30509,Hong Kong Football Club M1B,Ho Eric Chu Him,29547,Hong Kong Football Club M1A,20/02/2025,Hong Kong Football Club,1,3-2,Win,Home
Ho Eric Chu Him,29547,Hong Kong Football Club M1A,Ward Andrew,30509,Hong Kong Football Club M1B,20/02/2025,Hong Kong Football Club,1,2-3,Loss,Away
Chiu Ho Ming,25294,Hong Kong Football Club M1B,Lau Dick Siu Wai,25832,Hong Kong Football Club M1A,20/02/2025,Hong Kong Football Club,2,2-3,Loss,Home
Lau Dick Siu Wai,25832,Hong Kong Football Club M1A,Chiu Ho Ming,25294,Hong Kong Football Club M1B,20/02/2025,Hong Kong Football Club,2,3-2,Win,Away
Gates Stuart,32455,Hong Kong Football Club M1B,Hartley Alexander,34570,Hong Kong Football Club M1A,20/02/2025,Hong Kong Football Club,3,0-3,Loss,Home
Hartley Alexander,34570,Hong Kong Football Club M1A,Gates Stuart,32455,Hong Kong Football Club M1B,20/02/2025,Hong Kong Football Club,3,3-0,Win,Away
Kwong Anson Yu Shun,24673,Hong Kong Cricket Club M1B,Chiu Ho Fai,25295,Hong Kong Cricket Club M1A,20/02/2025,Hong Kong Cricket Club,1,2-3,Loss,Home
Chiu Ho Fai,25295,Hong Kong Cricket Club M1A,Kwong Anson Yu Shun,24673,Hong Kong Cricket Club M1B,20/02/2025,Hong Kong Cricket Club,1,3-2,Win,Away
Genever Peter John,33627,Hong Kong Cricket Club M1B,Ekanayake Yeshan,33658,Hong Kong Cricket Club M1A,20/02/2025,Hong Kong Cricket Club,2,3-0,Win,Home
Ekanayake Yeshan,33658,Hong Kong Cricket Club M1A,Genever Peter John,33627,Hong Kong Cricket Club M1B,20/02/2025,Hong Kong Cricket Club,2,0-3,Loss,Away
da Silva Juan,33553,Hong Kong Cricket Club M1B,Salahuddin,33374,Hong Kong Cricket Club M1A,20/02/2025,Hong Kong Cricket Club,3,0-3,Loss,Home
Salahuddin,33374,Hong Kong Cricket Club M1A,da Silva Juan,33553,Hong Kong Cricket Club M1B,20/02/2025,Hong Kong Cricket Club,3,3-0,Win,Away
