Player Name,HKS No.,Team,Opponent Name,Opponent HKS No.,Opponent Team,Match Date,Venue,Rubber Number,Score,Result,Home/Away
Wang Yi,35025.0,Royal Hong Kong Yacht Club Div 15,Morris Brandon Quinn,34203.0,United Services Recreation Club 4,30/11/2024,Royal Hong Kong Yacht Club,1,1-3,Loss,Home
Morris Brandon Quinn,34203.0,United Services Recreation Club 4,Wang Yi,35025.0,Royal Hong Kong Yacht Club Div 15,30/11/2024,Royal Hong Kong Yacht Club,1,3-1,Win,Away
Lai Ming Wah,33120.0,Royal Hong Kong Yacht Club Div 15,Ng Lok Ning Valerie,34137.0,United Services Recreation Club 4,30/11/2024,Royal Hong Kong Yacht Club,2,3-0,Win,Home
Ng Lok Ning Valerie,34137.0,United Services Recreation Club 4,Lai Ming Wah,33120.0,Royal Hong Kong Yacht Club Div 15,30/11/2024,Royal Hong Kong Yacht Club,2,0-3,Loss,Away
Chiu Yee Lai,26010.0,Royal Hong Kong Yacht Club Div 15,Chi Sum Yau,34897.0,United Services Recreation Club 4,30/11/2024,Royal Hong Kong Yacht Club,3,3-0,Win,Home
Chi Sum Yau,34897.0,United Services Recreation Club 4,Chiu Yee Lai,26010.0,Royal Hong Kong Yacht Club Div 15,30/11/2024,Royal Hong Kong Yacht Club,3,0-3,Loss,Away
Li Hoi Lee,35039.0,Royal Hong Kong Yacht Club Div 15,Chi Ho Sum,34896.0,United Services Recreation Club 4,30/11/2024,Royal Hong Kong Yacht Club,4,3-0,Win,Home
Chi Ho Sum,34896.0,United Services Recreation Club 4,Li Hoi Lee,35039.0,Royal Hong Kong Yacht Club Div 15,30/11/2024,Royal Hong Kong Yacht Club,4,0-3,Loss,Away
Tsang Pui Ki,34993.0,Royal Hong Kong Yacht Club Div 15,Unknown,,United Services Recreation Club 4,30/11/2024,Royal Hong Kong Yacht Club,5,CR,Win,Home
Unknown,,United Services Recreation Club 4,Tsang Pui Ki,34993.0,Royal Hong Kong Yacht Club Div 15,30/11/2024,Royal Hong Kong Yacht Club,5,CR,Loss,Away
Wong Tsz Wang Clayton,34413.0,Squashathon One,Wong Ho Kai,33399.0,Physical Chess 5,30/11/2024,Cornwall Street Squash Centre,1,3-0,Win,Home
Wong Ho Kai,33399.0,Physical Chess 5,Wong Tsz Wang Clayton,34413.0,Squashathon One,30/11/2024,Cornwall Street Squash Centre,1,0-3,Loss,Away
Chow Qing,34269.0,Squashathon One,Ho Lok Hei,33325.0,Physical Chess 5,30/11/2024,Cornwall Street Squash Centre,2,3-0,Win,Home
Ho Lok Hei,33325.0,Physical Chess 5,Chow Qing,34269.0,Squashathon One,30/11/2024,Cornwall Street Squash Centre,2,0-3,Loss,Away
Cheung Ka Wing,34644.0,Squashathon One,Fung Tin Lok,34816.0,Physical Chess 5,30/11/2024,Cornwall Street Squash Centre,3,3-2,Win,Home
Fung Tin Lok,34816.0,Physical Chess 5,Cheung Ka Wing,34644.0,Squashathon One,30/11/2024,Cornwall Street Squash Centre,3,2-3,Loss,Away
Wong Sung Chit,34216.0,Squashathon One,Chan Yuen Hei,34951.0,Physical Chess 5,30/11/2024,Cornwall Street Squash Centre,4,0-3,Loss,Home
Chan Yuen Hei,34951.0,Physical Chess 5,Wong Sung Chit,34216.0,Squashathon One,30/11/2024,Cornwall Street Squash Centre,4,3-0,Win,Away
Yeung Hei Lui,35107.0,Squashathon One,Tin Nok Lam,34814.0,Physical Chess 5,30/11/2024,Cornwall Street Squash Centre,5,3-2,Win,Home
Tin Nok Lam,34814.0,Physical Chess 5,Yeung Hei Lui,35107.0,Squashathon One,30/11/2024,Cornwall Street Squash Centre,5,2-3,Loss,Away
Li Zoe,34456.0,HKIS Div 15,Lee Austin,33826.0,Hong Kong Cricket Club 8,30/11/2024,Java Road Sports Centre,1,3-0,Win,Home
Lee Austin,33826.0,Hong Kong Cricket Club 8,Li Zoe,34456.0,HKIS Div 15,30/11/2024,Java Road Sports Centre,1,0-3,Loss,Away
Chum Dylan Dzongsar,33920.0,HKIS Div 15,Davey Lucas Philip,34240.0,Hong Kong Cricket Club 8,30/11/2024,Java Road Sports Centre,2,3-1,Win,Home
Davey Lucas Philip,34240.0,Hong Kong Cricket Club 8,Chum Dylan Dzongsar,33920.0,HKIS Div 15,30/11/2024,Java Road Sports Centre,2,1-3,Loss,Away
Tam Emily,34574.0,HKIS Div 15,Heng Ashton,33868.0,Hong Kong Cricket Club 8,30/11/2024,Java Road Sports Centre,3,0-3,Loss,Home
Heng Ashton,33868.0,Hong Kong Cricket Club 8,Tam Emily,34574.0,HKIS Div 15,30/11/2024,Java Road Sports Centre,3,3-0,Win,Away
Tam Erin,34575.0,HKIS Div 15,Huang William Yijia,34963.0,Hong Kong Cricket Club 8,30/11/2024,Java Road Sports Centre,4,1-3,Loss,Home
Huang William Yijia,34963.0,Hong Kong Cricket Club 8,Tam Erin,34575.0,HKIS Div 15,30/11/2024,Java Road Sports Centre,4,3-1,Win,Away
Zhang Ting Xuan,34016.0,HKIS Div 15,Ho William Mason,34999.0,Hong Kong Cricket Club 8,30/11/2024,Java Road Sports Centre,5,3-0,Win,Home
Ho William Mason,34999.0,Hong Kong Cricket Club 8,Zhang Ting Xuan,34016.0,HKIS Div 15,30/11/2024,Java Road Sports Centre,5,0-3,Loss,Away
