Player Name,HKS No.,Team,Opponent Name,Opponent HKS No.,Opponent Team,Match Date,Venue,Rubber Number,Score,Result,Home/Away
Wong Kirstie Po Yui,30423,Hong Kong Cricket Club L1,Lee Ka Yi,28366,JESSICA L1,16/01/2025,Hong Kong Cricket Club,1,1-3,Loss,Home
Lee Ka Yi,28366,JESSICA L1,Wong Kirstie Po Yui,30423,Hong Kong Cricket Club L1,16/01/2025,Hong Kong Cricket Club,1,3-1,Win,Away
Wai Sze Wing,31176,Hong Kong Cricket Club L1,Tse Toby Yee Lam,31163,JESSICA L1,16/01/2025,Hong Kong Cricket Club,2,0-3,Loss,Home
Tse Toby Yee Lam,31163,JESSICA L1,Wai Sze Wing,31176,Hong Kong Cricket Club L1,16/01/2025,Hong Kong Cricket Club,2,3-0,Win,Away
Lo Pui Yin Chloe,32618,Hong Kong Cricket Club L1,Tang Helen,32404,JESSICA L1,16/01/2025,Hong Kong Cricket Club,3,0-3,Loss,Home
Tang Helen,32404,JESSICA L1,Lo Pui Yin Chloe,32618,Hong Kong Cricket Club L1,16/01/2025,Hong Kong Cricket Club,3,3-0,Win,Away
Tong Tsz Wing,27291,Kowloon Cricket Club L1B,Cheng Nga Ching,29632,Kowloon Cricket Club L1A,16/01/2025,Kowloon Cricket Club,1,3-0,Win,Home
Cheng Nga Ching,29632,Kowloon Cricket Club L1A,Tong Tsz Wing,27291,Kowloon Cricket Club L1B,16/01/2025,Kowloon Cricket Club,1,0-3,Loss,Away
Cheung Tsz Ching,32309,Kowloon Cricket Club L1B,Lam Po Ying,31022,Kowloon Cricket Club L1A,16/01/2025,Kowloon Cricket Club,2,3-1,Win,Home
Lam Po Ying,31022,Kowloon Cricket Club L1A,Cheung Tsz Ching,32309,Kowloon Cricket Club L1B,16/01/2025,Kowloon Cricket Club,2,1-3,Loss,Away
Lam Jannis Wing Hei,29160,Kowloon Cricket Club L1B,Liu Tsz Ling,28123,Kowloon Cricket Club L1A,16/01/2025,Kowloon Cricket Club,3,0-3,Loss,Home
Liu Tsz Ling,28123,Kowloon Cricket Club L1A,Lam Jannis Wing Hei,29160,Kowloon Cricket Club L1B,16/01/2025,Kowloon Cricket Club,3,3-0,Win,Away
