Order,Player,HKS No.,Ranking,Points,Team
1,Chiu Ho Fai,25295,4,20.62,Hong Kong Cricket Club M1A
2,Chiu Raymond Shung Hei,25313,5,20.4,Hong Kong Cricket Club M1A
3,Ekanayake Yeshan,33658,14,13.5,Hong Kong Cricket Club M1A
4,Soo Neal,28230,0,0.0,Hong Kong Cricket Club M1A
5,Gray Jonathan,32271,16,13.0,Hong Kong Cricket Club M1A
6,Salahuddin,33374,12,16.8,Hong Kong Cricket Club M1A
7,Hoogendijk Mark,28905,0,0.0,Hong Kong Cricket Club M1A
8,Bhammer Vishal,27832,0,7.5,Hong Kong Cricket Club M1A
1,Kwong Anson Yu Shun,24673,2,21.0,Hong Kong Cricket Club M1B
2,Genever Peter John,33627,2,21.0,Hong Kong Cricket Club M1B
3,Khan Faheem,21229,0,24.0,Hong Kong Cricket Club M1B
4,Head Phil,26831,10,17.7,Hong Kong Cricket Club M1B
5,West Steven,28550,0,12.75,Hong Kong Cricket Club M1B
6,Achouch Frank,29549,17,11.57,Hong Kong Cricket Club M1B
7,da Silva Juan,33553,0,9.0,Hong Kong Cricket Club M1B
1,Ho Eric Chu Him,29547,11,17.57,Hong Kong Football Club M1A
2,Lau Dick Siu Wai,25832,7,20.25,Hong Kong Football Club M1A
3,Yu Vincent Hok Yan,25930,9,19.2,Hong Kong Football Club M1A
4,Hartley Alexander,34570,0,21.0,Hong Kong Football Club M1A
5,Soo Sean Tsung Jie,30498,0,22.5,Hong Kong Football Club M1A
6,Zhang James,30858,0,0.0,Hong Kong Football Club M1A
1,Ward Andrew,30509,1,23.0,Hong Kong Football Club M1B
2,Chiu Ho Ming,25294,6,20.33,Hong Kong Football Club M1B
3,Schaefer Rishad,31281,8,20.0,Hong Kong Football Club M1B
4,Hibberd Christian,32018,13,14.0,Hong Kong Football Club M1B
5,Chou Pak Lam Wilson,32369,0,13.5,Hong Kong Football Club M1B
1,Tulloch Gillem,29779,0,17.0,Ladies Recreation Club M1
2,Nihalani Rajesh,25743,0,14.25,Ladies Recreation Club M1
3,Caves Christopher,29552,14,13.5,Ladies Recreation Club M1
4,Brantly Charles,32208,18,11.0,Ladies Recreation Club M1
5,* Leung Adco,30998,19,10.88,Ladies Recreation Club M1
