Order,Player,HKS No.,Ranking,Points,Team
1,Wong Kirstie Po Yui,30423,0,18.0,Hong Kong Cricket Club L1
2,Wai Sze Wing,31176,0,11.0,Hong Kong Cricket Club L1
3,Lo Pui Yin Chloe,32618,0,6.0,Hong Kong Cricket Club L1
1,Ho Tomato Tze Lok,28466,0,21.0,Hong Kong Football Club L1
2,Fung Ching Hei,30881,0,22.5,Hong Kong Football Club L1
3,Tam Cho Nga Mariko,31335,0,15.0,Hong Kong Football Club L1
4,Lee Ka Man Carmen,23756,0,13.5,Hong Kong Football Club L1
1,Lee Ka Yi,28366,0,24.0,JESSICA L1
2,Tse Toby Yee Lam,31163,0,18.75,JESSICA L1
3,Leung Ka Huen,31882,0,21.0,JESSICA L1
4,Tang Helen,32404,0,21.0,JESSICA L1
1,Cheng Nga Ching,29632,0,22.0,Kowloon Cricket Club L1A
2,Lam Po Ying,31022,0,19.0,Kowloon Cricket Club L1A
3,Liu Tsz Ling,28123,0,21.0,Kowloon Cricket Club L1A
4,Chan Joey Ho Ling,26290,0,21.0,Kowloon Cricket Club L1A
5,Au Ling Yu,31896,0,6.0,Kowloon Cricket Club L1A
1,Tong Tsz Wing,27291,0,20.0,Kowloon Cricket Club L1B
2,Kwong Ena,32077,0,19.5,Kowloon Cricket Club L1B
3,Cheung Tsz Ching,32309,0,16.0,Kowloon Cricket Club L1B
4,Lam Jannis Wing Hei,29160,0,9.0,Kowloon Cricket Club L1B
5,Cheng Pik Ching,31149,0,0.0,Kowloon Cricket Club L1B
6,Li Sum Yin,29877,0,12.0,Kowloon Cricket Club L1B
