Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
1,To Wai Lok,Hong Kong Cricket Club 1,22.8,114,5,5,0,Premier Main,1.0
2,Ling To Yu,Kowloon Cricket Club 1A,21.6,108,5,4,1,Premier Main,0.8
3,Lam Matthew Shing Fung,Kowloon Cricket Club 1A,21.5,129,6,6,0,Premier Main,1.0
4,Ho Samuel Ka Hei,FWD,21.0,126,6,5,1,Premier Main,0.8333333333333334
5,Tang Ming Hong,Kowloon Cricket Club 1A,21.0,105,5,3,2,Premier Main,0.6
6,Lee Max Ho Yin,Hong Kong Football Club 1A,17.4,87,5,2,3,Premier Main,0.4
7,Au Lap Man Rex,Kowloon Cricket Club 1B,17.4,87,5,1,4,Premier Main,0.2
8,Cheng Justin Hong-Chen,Hong Kong Football Club 1A,17.0,102,6,4,2,Premier Main,0.6666666666666666
9,Low Mark Chun Kit,Hong Kong Football Club 1B,15.6,78,5,2,3,Premier Main,0.4
10,Chung Yat Long,FWD,15.0,75,5,1,4,Premier Main,0.2
11,Lam Harley Yat Ting,Hong Kong Cricket Club 1,14.4,72,5,1,4,Premier Main,0.2
,Wong Chi Him,Hong Kong Cricket Club 1,27.0,108,4,4,0,Premier Main,1.0
,Leung Henry Chi Hin,Hong Kong Football Club 1B,25.5,102,4,4,0,Premier Main,1.0
,Lau Tsz Kwan,Hong Kong Football Club 1A,24.0,48,2,2,0,Premier Main,1.0
,Wong Wing Kuen,Kowloon Cricket Club 1A,18.0,36,2,2,0,Premier Main,1.0
,Ho Eric Chu Him,Hong Kong Football Club 1A,18.0,18,1,1,0,Premier Main,1.0
,Lai Long Ching,Hong Kong Football Club 1A,15.0,60,4,2,2,Premier Main,0.5
,Chiu Ho Fai,Hong Kong Cricket Club 1,15.0,30,2,1,1,Premier Main,0.5
,Wong Joe Wai Chung,FWD,12.0,24,2,1,1,Premier Main,0.5
,Khan Faheem,Hong Kong Cricket Club 1,12.0,12,1,0,1,Premier Main,0.0
,Yip Tsz Fung,Hong Kong Football Club 1B,12.0,12,1,0,1,Premier Main,0.0
,Man Tsz Wing,Kowloon Cricket Club 1B,11.25,45,4,2,2,Premier Main,0.5
,Lee Tin Hang,Hong Kong Football Club 1B,10.5,42,4,1,3,Premier Main,0.25
,Luen Tsz Yu,Kowloon Cricket Club 1B,10.5,21,2,0,2,Premier Main,0.0
,Cheng Ting To Brogan,Hong Kong Football Club 1B,10.5,21,2,0,2,Premier Main,0.0
,Tam Tommy Tsz Shing,Kowloon Cricket Club 1B,10.5,42,4,0,4,Premier Main,0.0
,Wong King Yeung,Kowloon Cricket Club 1B,9.0,9,1,0,1,Premier Main,0.0
,Wong Anson,Hong Kong Football Club 1B,9.0,18,2,0,2,Premier Main,0.0
,Chan Russell Chi Ho,FWD,7.0,21,3,0,3,Premier Main,0.0
,Ng Ka Tsun Derek,Kowloon Cricket Club 1B,6.0,6,1,0,1,Premier Main,0.0
,Hung Hin Wang Clemnet,Hong Kong Cricket Club 1,6.0,6,1,0,1,Premier Main,0.0
,Cheung Ka Yau,FWD,6.0,12,2,0,2,Premier Main,0.0
,Tulloch Gillem,Hong Kong Football Club 1A,0.0,0,0,0,0,Premier Main,0.0
,Gates Stuart,Hong Kong Football Club 1B,0.0,0,0,0,0,Premier Main,0.0
