Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
1,Yau Yeung,X-Alpha 3,23.0,138,6,6,0,7A,1.0
2,Toernell Henrik,Vitality Squash 1,21.6,108,5,4,1,7A,0.8
3,Au Alex Ka Man,The Best Group 1,18.43,129,7,3,4,7A,0.42857142857142855
4,Chan Hei Wai Henry,The Best Group 1,17.4,87,5,3,2,7A,0.6
5,Porter Darrell Lee,Hong Kong Football Club 7A,17.0,102,6,4,2,7A,0.6666666666666666
6,Chan Yan Yu,X-Alpha 3,16.2,81,5,3,2,7A,0.6
7,Wong Kin Tung,The Best Group 1,10.71,75,7,3,4,7A,0.42857142857142855
8,Padgaonkar Ashwin,Hong Kong Football Club 7A,10.2,51,5,1,4,7A,0.2
9,Lam Ka Lok,The Best Group 1,10.2,51,5,0,5,7A,0.0
10,Chan Yan Chau,X-Alpha 3,9.6,48,5,4,1,7A,0.8
11,Li Yi Wei,Vitality Squash 1,7.5,45,6,1,5,7A,0.16666666666666666
,Tai Jacky Tsz Ki,Kinetic 1,25.5,102,4,4,0,7A,1.0
,Feng Weitao,X-Alpha 3,25.5,51,2,2,0,7A,1.0
,Wong Chi Hang Frankie,UST,24.75,99,4,4,0,7A,1.0
,Wong Chak Sum Ocean,X-Alpha 3,23.25,93,4,4,0,7A,1.0
,Kwok Chi Hang,UST,21.75,87,4,3,1,7A,0.75
,Lulla Vikram,Hong Kong Football Club 7A,21.0,63,3,2,1,7A,0.6666666666666666
,Shetty Adarsh,Vitality Squash 1,21.0,42,2,2,0,7A,1.0
,Lau Lily Wun Cheung,Kinetic 1,19.5,78,4,3,1,7A,0.75
,Ford Anthony,Hong Kong Football Club 7A,19.5,39,2,2,0,7A,1.0
,Chan Chi Ming Keith,Hong Kong Cricket Club 5,19.0,57,3,2,1,7A,0.6666666666666666
,Lin Charles Lan Kay,Kinetic 1,19.0,57,3,1,2,7A,0.3333333333333333
,Shi Le,Hong Kong Cricket Club 5,18.75,75,4,4,0,7A,1.0
,Lim Marcus,Hong Kong Football Club 7A,18.75,75,4,2,2,7A,0.5
,Wong Hui Sing,The Best Group 1,18.0,54,3,2,1,7A,0.6666666666666666
,Montefiore Alexander,Hong Kong Cricket Club 5,18.0,18,1,1,0,7A,1.0
,Aw Adrian,Vitality Squash 1,16.5,66,4,2,2,7A,0.5
,Richard Lee Jacob William,Vitality Squash 1,16.5,33,2,2,0,7A,1.0
,Hathiramani Sahil Ajit,Hong Kong Cricket Club 5,15.75,63,4,3,1,7A,0.75
,Hon Chun Chau Lan,UST,15.75,63,4,2,2,7A,0.5
,Chan Ming Yan,X-Alpha 3,15.0,60,4,3,1,7A,0.75
,Lo Ching Yin,Kinetic 1,15.0,30,2,2,0,7A,1.0
,Ng Alan Chi Fung,Hong Kong Football Club 7A,15.0,15,1,1,0,7A,1.0
,Kwong Martin Cheuk Hin,UST,15.0,15,1,1,0,7A,1.0
,Bhammer Vishal,Hong Kong Cricket Club 5,15.0,30,2,0,2,7A,0.0
,Leung Ka Hei,Hong Kong Cricket Club 5,15.0,30,2,0,2,7A,0.0
,Wong Sui Lun,Vitality Squash 1,14.25,57,4,0,4,7A,0.0
