Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
1,Soo Euan Tsung Liang,Ladies Recreation Club M2A,26.0,156,6,6,0,M2,1.0
2,Pun Teddy,Hong Kong Football Club M2A,21.86,153,7,5,2,M2,0.7142857142857143
3,Caveney Barry John,Hong Kong Cricket Club M2A,19.88,159,8,5,3,M2,0.625
4,Janes Gareth,Hong Kong Cricket Club M2B,18.0,126,7,6,1,M2,0.8571428571428571
5,Gates Stuart,Hong Kong Football Club M2B,17.25,138,8,6,2,M2,0.75
6,Wei Stephen J.,Hong Kong Football Club M2A,16.2,81,5,4,1,M2,0.8
7,Tsang Stephen Chi Pon,Hong Kong Cricket Club M2B,16.2,81,5,2,3,M2,0.4
8,Swan Owen,Ladies Recreation Club M2B,16.12,129,8,4,4,M2,0.5
9,Skinn Christopher Andrew,Hong Kong Cricket Club M2B,15.6,78,5,2,3,M2,0.4
10,Derouet Yann,Hong Kong Football Club M2B,15.0,75,5,4,1,M2,0.8
11,Grewal Harpreet,Hong Kong Cricket Club M2A,15.0,105,7,3,4,M2,0.42857142857142855
12,Sha Steven,Ladies Recreation Club M2B,15.0,75,5,1,4,M2,0.2
13,Denham Paul,Hong Kong Cricket Club M2A,14.4,72,5,3,2,M2,0.6
14,Mountford Graham,Hong Kong Football Club M2A,14.4,72,5,1,4,M2,0.2
15,Leung Chi On,Ladies Recreation Club M2A,13.5,81,6,1,5,M2,0.16666666666666666
16,Adjemian Nicolas,Ladies Recreation Club M2B,12.6,63,5,2,3,M2,0.4
17,Lo Kenneth Kin Cheung,Hong Kong Football Club M2B,12.0,72,6,3,3,M2,0.5
18,Ternes Daniel,Hong Kong Cricket Club M2B,12.0,60,5,2,3,M2,0.4
19,Amjad Nauman,Ladies Recreation Club M2A,10.29,72,7,2,5,M2,0.2857142857142857
,Tjia Jonathan,Hong Kong Football Club M2B,23.25,93,4,4,0,M2,1.0
,Bajaj Prateek,Hong Kong Cricket Club M2A,22.0,66,3,2,1,M2,0.6666666666666666
,Long Adrian,Hong Kong Football Club M2A,21.0,21,1,1,0,M2,1.0
,Barmont Alexandre,Hong Kong Football Club M2B,20.25,81,4,2,2,M2,0.5
,Joel Neoh Eu Jin,Ladies Recreation Club M2B,18.75,75,4,3,1,M2,0.75
,Ng Paul Lap Yan,Hong Kong Football Club M2A,18.0,54,3,2,1,M2,0.6666666666666666
,Hathiramani Sahil Ajit,Hong Kong Cricket Club M2B,18.0,36,2,2,0,M2,1.0
,Tanner Julian,Hong Kong Football Club M2A,18.0,18,1,1,0,M2,1.0
,Nihalani Manoj,Hong Kong Football Club M2B,18.0,54,3,1,2,M2,0.3333333333333333
,Heritage Jonathan Paul,Hong Kong Cricket Club M2B,18.0,18,1,1,0,M2,1.0
,Lam Allen Kar Fai,Hong Kong Football Club M2A,17.0,51,3,2,1,M2,0.6666666666666666
,Bruwer Frank,Hong Kong Cricket Club M2B,15.75,63,4,1,3,M2,0.25
,Kwok Charmaine,Ladies Recreation Club M2A,15.0,60,4,2,2,M2,0.5
,Scheepers Bradley,Hong Kong Football Club M2B,15.0,30,2,2,0,M2,1.0
,Ho Simon Man Kai,Hong Kong Football Club M2A,14.0,42,3,2,1,M2,0.6666666666666666
,Lamb Russell,Hong Kong Cricket Club M2A,14.0,42,3,0,3,M2,0.0
,Ladharam Sunesh,Hong Kong Football Club M2A,13.5,54,4,2,2,M2,0.5
,Shahani Dilip,Ladies Recreation Club M2A,13.0,39,3,2,1,M2,0.6666666666666666
,Kumar Raj,Hong Kong Cricket Club M2A,12.0,12,1,1,0,M2,1.0
,Buckland Paul Edwin Kim,Hong Kong Cricket Club M2A,10.0,30,3,1,2,M2,0.3333333333333333
,Tang Tsz Ho Michael,Ladies Recreation Club M2A,9.0,9,1,0,1,M2,0.0
,Park Wanki Moses,Ladies Recreation Club M2A,6.0,6,1,0,1,M2,0.0
,Olsen Sven,Hong Kong Cricket Club M2B,6.0,6,1,0,1,M2,0.0
,Weatherall Roland,Ladies Recreation Club M2B,6.0,18,3,0,3,M2,0.0
,Neilson Phil,Hong Kong Cricket Club M2B,4.5,9,2,0,2,M2,0.0
,Leow Kin Leung,Ladies Recreation Club M2A,3.75,15,4,0,4,M2,0.0
,Cho Albert,Ladies Recreation Club M2B,3.0,3,1,0,1,M2,0.0
,Montefiore Alexander,Hong Kong Cricket Club M2A,3.0,6,2,0,2,M2,0.0
,Moreu Horacio,Ladies Recreation Club M2B,0.0,0,0,0,0,M2,0.0
,Stearn Nicholas,Hong Kong Cricket Club M2A,0.0,0,0,0,0,M2,0.0
,Richard Lee Jacob William,Ladies Recreation Club M2B,0.0,0,0,0,0,M2,0.0
,Cross David,Hong Kong Football Club M2B,0.0,0,0,0,0,M2,0.0
,Aw Adrian,Hong Kong Cricket Club M2A,0.0,0,0,0,0,M2,0.0
,Kahn Hetrakul,Hong Kong Cricket Club M2A,0.0,0,0,0,0,M2,0.0
