Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
1,Su Heng Man,Dynamos Squash,25.2,126,5,5,0,8B,1.0
2,Cheong Wan Seng,Dynamos Squash,23.0,138,6,6,0,8B,1.0
3,Dong Bo Ang,NEXUS 3,22.5,135,6,5,1,8B,0.8333333333333334
4,Kuok Kuong Hong,Dynamos Squash,22.0,132,6,6,0,8B,1.0
5,Choy Chun Hei Bosco,Happy Squash 3,20.62,165,8,5,3,8B,0.625
6,Mei Tian Xiao,Fusion Squash Club 1,19.5,117,6,6,0,8B,1.0
7,Ho Chi Hung Eric,MERCURY,18.75,150,8,3,5,8B,0.375
8,Po Long Huen Mavis,NEXUS 3,18.43,129,7,6,1,8B,0.8571428571428571
9,Li Kin Lok,Happy Squash 3,18.43,129,7,5,2,8B,0.7142857142857143
10,Ng Shing Hin,Dynamos Squash,18.0,90,5,5,0,8B,1.0
11,Kollar Thomas,Vitality Squash 2,18.0,90,5,4,1,8B,0.8
12,Mok Shing Hei,X-Alpha 4,18.0,90,5,3,2,8B,0.6
13,Mo Shing Tsang,X-Alpha 4,16.88,135,8,6,2,8B,0.75
14,Leung Ngo San,Fusion Squash Club 1,16.8,84,5,3,2,8B,0.6
15,Li Ivan Chun Wing,LONGVIEW,16.71,117,7,5,2,8B,0.7142857142857143
16,Siu Chen Dong,MERCURY,16.5,99,6,2,4,8B,0.3333333333333333
17,Leong Vai Kit,Dynamos Squash,16.2,81,5,5,0,8B,1.0
18,Yiu Sai Ngoi,LONGVIEW,16.0,144,9,2,7,8B,0.2222222222222222
18,Luo Wan Hei,Fusion Squash Club 1,16.0,96,6,2,4,8B,0.3333333333333333
20,Shapiro William Dat,Vitality Squash 2,15.6,78,5,1,4,8B,0.2
21,Dong Li Ang,Vitality Squash 2,15.5,93,6,1,5,8B,0.16666666666666666
22,Leong Chin Han,Dynamos Squash,14.5,87,6,4,2,8B,0.6666666666666666
23,Cheung Tsz Long,Vitality Squash 2,14.4,72,5,2,3,8B,0.4
24,Pan Ka Hei,X-Alpha 4,13.8,69,5,4,1,8B,0.8
25,Yang Ho Yin,Happy Squash 3,13.8,69,5,2,3,8B,0.4
26,Chau Hing Bor,MERCURY,13.12,105,8,5,3,8B,0.625
27,Cheung Hiu Man,Fusion Squash Club 1,13.0,78,6,5,1,8B,0.8333333333333334
28,Cheung Ying Yat,Vitality Squash 2,11.5,69,6,4,2,8B,0.6666666666666666
29,Li Yuen Man,X-Alpha 4,11.0,66,6,3,3,8B,0.5
30,Dissanayaka Waruna Lakmal,MERCURY,11.0,66,6,1,5,8B,0.16666666666666666
31,Chiu Ka Yin,MERCURY,10.8,54,5,2,3,8B,0.4
32,Chiu Dustin,Fusion Squash Club 1,10.2,51,5,2,3,8B,0.4
33,Kwong Wai Ching,Happy Squash 3,6.0,36,6,1,5,8B,0.16666666666666666
34,Leung Shun Hei,Happy Squash 3,6.0,30,5,0,5,8B,0.0
35,Lee Yui Him Curtis,Happy Squash 3,4.0,24,6,1,5,8B,0.16666666666666666
,Tse Sio Kit,Dynamos Squash,27.0,108,4,4,0,8B,1.0
,Lo Yan Yiu,X-Alpha 4,26.0,78,3,3,0,8B,1.0
,Tse Ka Chun,X-Alpha 4,23.25,93,4,4,0,8B,1.0
,Yang Sihan,Fusion Squash Club 1,22.5,90,4,3,1,8B,0.75
,Chan Yin Wang,NEXUS 3,19.5,78,4,4,0,8B,1.0
,Liu Edmund Chi Fai,Dynamos Squash,18.0,36,2,2,0,8B,1.0
,Wong Pok Hin,Dynamos Squash,18.0,18,1,1,0,8B,1.0
,Chan Cheuk Yan,Fusion Squash Club 1,17.0,51,3,3,0,8B,1.0
,Yau Chase Xuanfu,NEXUS 3,17.0,51,3,2,1,8B,0.6666666666666666
,Chang Long Him,NEXUS 3,16.5,66,4,2,2,8B,0.5
,Tin Chung Hei,X-Alpha 4,16.5,33,2,2,0,8B,1.0
,Hui Cheuk Him Brody,Vitality Squash 2,16.0,48,3,2,1,8B,0.6666666666666666
,Wong Ho Sang,LONGVIEW,15.0,45,3,3,0,8B,1.0
,Cheung Alan Wing Lun,LONGVIEW,15.0,30,2,1,1,8B,0.5
,Chow Ka Lun,LONGVIEW,15.0,15,1,1,0,8B,1.0
,Ngai Chun Kit,LONGVIEW,15.0,15,1,1,0,8B,1.0
,Ho Hoi Bok Bernard,Vitality Squash 2,15.0,15,1,1,0,8B,1.0
,Mao Junhong,Fusion Squash Club 1,14.25,57,4,3,1,8B,0.75
,Lui Parkson Bryan,Fusion Squash Club 1,13.5,27,2,1,1,8B,0.5
,Luk Jackie Ching Chug,LONGVIEW,13.0,39,3,0,3,8B,0.0
,Li Wen Ying,NEXUS 3,12.0,36,3,2,1,8B,0.6666666666666666
,Wong Adrian Preston,Vitality Squash 2,12.0,48,4,2,2,8B,0.5
,Chui Danny Kam Wah,LONGVIEW,12.0,24,2,0,2,8B,0.0
,Man Pok Wang,X-Alpha 4,12.0,24,2,0,2,8B,0.0
,Ng Cheuk Hin,Dynamos Squash,11.25,45,4,3,1,8B,0.75
,Cheng Ping Kuen Thomas,MERCURY,11.25,45,4,1,3,8B,0.25
,Tang Ching On,Fusion Squash Club 1,10.0,30,3,2,1,8B,0.6666666666666666
,Fung Hoi Ching,X-Alpha 4,10.0,30,3,0,3,8B,0.0
,Cheung Ka Lun Alan,LONGVIEW,9.0,9,1,0,1,8B,0.0
,Zhang Nika,Vitality Squash 2,9.0,9,1,0,1,8B,0.0
,Gaffney Noel Patrick,LONGVIEW,9.0,18,2,0,2,8B,0.0
,Tse Winky Wing Kee,MERCURY,7.5,30,4,2,2,8B,0.5
,Cheung Yee Ki,Happy Squash 3,7.5,15,2,1,1,8B,0.5
,Lam Pak Kei Chris,LONGVIEW,7.5,30,4,1,3,8B,0.25
