Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
1,Wong Ho Kiu,TNG 1,26.0,156,6,6,0,12B,1.0
2,* Lee Darren Ching Him,Physical Chess 3,23.33,210,9,7,2,12B,0.7777777777777778
3,Wong Yat Him,YLJR 2,23.25,186,8,8,0,12B,1.0
4,Wong Chak Sum Ocean,Smart Squash 1,22.71,318,14,11,3,12B,0.7857142857142857
5,Li Hau Ching,YLJR 2,22.5,180,8,7,1,12B,0.875
6,Chan Man Fung,YLJR 2,22.29,156,7,7,0,12B,1.0
7,* Tse Long Hin,Physical Chess 3,21.6,108,5,3,2,12B,0.6
8,Wu Shun Kei,TNG 1,20.62,165,8,7,1,12B,0.875
9,Feng Weitao,Smart Squash 1,20.57,144,7,7,0,12B,1.0
10,Lip Tsz Ho,YLJR 2,20.0,120,6,5,1,12B,0.8333333333333334
11,Chung Ho Yin Will,Smart Squash 1,19.75,237,12,9,3,12B,0.75
12,Chiu Hau Ching,TNG 1,18.86,132,7,6,1,12B,0.8571428571428571
13,Lam Yuen Sarm,YLJR 2,18.82,207,11,9,2,12B,0.8181818181818182
14,Mak Wai Fung,YLJR 2,18.0,144,8,8,0,12B,1.0
15,Au Pak Ki,JAVA,17.7,177,10,4,6,12B,0.4
16,Wong Siu Sun,Physical Chess 3,17.0,153,9,4,5,12B,0.4444444444444444
17,Ko Suet Icy,TNG 1,16.8,84,5,3,2,12B,0.6
18,Cheung Pak Hin Milo,TNG 1,16.8,84,5,2,3,12B,0.4
19,Wong Wai Lap,Physical Chess 3,15.86,111,7,7,0,12B,1.0
20,Mok Ivan Tsz Pui,Physical Chess 3,15.75,126,8,5,3,12B,0.625
21,Li Tsz Ho,Friend Club 4,15.6,78,5,1,4,12B,0.2
22,Chan Hoi Hei,TNG 1,15.55,171,11,10,1,12B,0.9090909090909091
23,Hung Tak Ching,TNG 1,15.0,135,9,7,2,12B,0.7777777777777778
24,Dai Kwun San Harry,Physical Chess 3,15.0,105,7,4,3,12B,0.5714285714285714
25,Hui Fu Wing Edwin,Physical Chess 3,14.67,132,9,9,0,12B,1.0
26,Cheung Tsz Long,Friend Club 4,13.5,108,8,2,6,12B,0.25
27,So Wan Kiu,i-Mask Advance Squash Club 4,13.0,117,9,3,6,12B,0.3333333333333333
28,Chan King Hei,Friend Club 4,12.92,168,13,5,8,12B,0.38461538461538464
29,Chan Yan Yu,Smart Squash 1,12.75,153,12,7,5,12B,0.5833333333333334
30,Lee Kit Ying,i-Mask Advance Squash Club 4,12.38,99,8,0,8,12B,0.0
31,Eze Chike Jayden,YLJR 2,12.0,96,8,6,2,12B,0.75
32,Dong Bo Ang,JAVA,12.0,108,9,4,5,12B,0.4444444444444444
33,Chan Hiu Wai,i-Mask Advance Squash Club 4,12.0,72,6,0,6,12B,0.0
34,Dong Li Ang,JAVA,11.67,105,9,2,7,12B,0.2222222222222222
35,Cheng Tsz Hei,YLJR 2,11.14,78,7,4,3,12B,0.5714285714285714
36,Yau Yeung,Smart Squash 1,10.8,54,5,2,3,12B,0.4
37,Leung Sek Ho Kelvin,Physical Chess 3,10.8,54,5,1,4,12B,0.2
38,Chan Tsz Chung,Physical Chess 3,10.12,81,8,4,4,12B,0.5
39,Chow Yuen Ching,Smart Squash 1,9.0,81,9,5,4,12B,0.5555555555555556
40,Tang Sze Wai,Friend Club 4,9.0,54,6,2,4,12B,0.3333333333333333
41,Tam Hong Kiu,i-Mask Advance Squash Club 4,8.7,87,10,2,8,12B,0.2
42,Leung Cheuk Lam,i-Mask Advance Squash Club 4,8.4,42,5,3,2,12B,0.6
43,Law Cherie,i-Mask Advance Squash Club 4,7.88,63,8,2,6,12B,0.25
44,Au Sin Man,i-Mask Advance Squash Club 4,7.88,63,8,0,8,12B,0.0
45,Wong Yan Lam,Friend Club 4,7.5,45,6,1,5,12B,0.16666666666666666
46,Fu Sai Hei,Smart Squash 1,6.0,30,5,2,3,12B,0.4
46,Wong Sum Yu,Friend Club 4,6.0,42,7,2,5,12B,0.2857142857142857
48,Cheung Hei Yu,Friend Club 4,6.0,36,6,1,5,12B,0.16666666666666666
49,Man Kiu Yan,YLJR 2,5.5,33,6,2,4,12B,0.3333333333333333
,Yu Fung,TNG 1,19.5,78,4,2,2,12B,0.5
,Chan Ming Yan,Smart Squash 1,18.0,72,4,4,0,12B,1.0
,Lo Sing Chi,Friend Club 4,18.0,36,2,1,1,12B,0.5
,* Li Bing Hei,Physical Chess 3,18.0,54,3,1,2,12B,0.3333333333333333
,Tang Ching Sum,TNG 1,16.0,48,3,2,1,12B,0.6666666666666666
,Au Pak Lun,JAVA,15.75,63,4,2,2,12B,0.5
,Hegde Vishal,i-Mask Advance Squash Club 4,15.0,15,1,1,0,12B,1.0
,Wong Yu,Friend Club 4,15.0,30,2,1,1,12B,0.5
,Chung King Long Jacqueline,TNG 1,12.0,48,4,2,2,12B,0.5
,Po Long Huen Mavis,Friend Club 4,10.5,42,4,0,4,12B,0.0
,Wong Yiu Yeung,JAVA,9.0,18,2,1,1,12B,0.5
,Su Chi To,JAVA,9.0,27,3,0,3,12B,0.0
,Kollar Thomas,JAVA,6.0,12,2,0,2,12B,0.0
,Tsang Chun Fung,JAVA,5.25,21,4,1,3,12B,0.25
,Wong Minnie,i-Mask Advance Squash Club 4,5.0,15,3,1,2,12B,0.3333333333333333
,Li Yi Wei,JAVA,5.0,15,3,0,3,12B,0.0
,Zhang Nika,JAVA,4.5,9,2,0,2,12B,0.0
,Lee Jan Yao,Friend Club 4,1.5,3,2,0,2,12B,0.0
,Shapiro William Dat,JAVA,0.0,0,2,0,2,12B,0.0
,Chok Wai Hin,Smart Squash 1,0.0,0,1,0,1,12B,0.0
,Ng Kin Chun,Smart Squash 1,0.0,0,0,0,0,12B,
,Chim Tung Ni,Smart Squash 1,0.0,0,0,0,0,12B,
